ID,Flybase,Accession,Gene Name,logFC,logCPM,LR,PValue,fdr,Up-regulated in
GB40286,#N/A,XM_001120976.3," PREDICTED: Apis mellifera cytochrome P450 6AS16P (CYP6AS16P), mRNA",-5.260040329,6.345156084,41.05127304,1.48E-10,1.83E-07,Reproductive
GB42284,#N/A,XM_001120976.3," PREDICTED: Apis mellifera cytochrome P450 6AS16P (CYP6AS16P), mRNA",-4.865557531,3.922567017,35.16567557,3.03E-09,1.33E-06,Reproductive
GB46084,#N/A,XM_003250045.2," PREDICTED: Apis mellifera uncharacterized LOC100577698 (LOC100577698), mRNA",-4.691916192,8.686524037,28.19199587,1.10E-07,1.52E-05,Reproductive
GB44989,#N/A,XM_006566471.1," PREDICTED: Apis mellifera protein TANC1-like (LOC102656637), mRNA",-4.671247498,1.891029962,28.19423164,1.10E-07,1.52E-05,Reproductive
GB50882,#N/A,XM_625249.4," PREDICTED: Apis mellifera uncharacterized LOC551496 (LOC551496), transcript variant X2, mRNA",-4.446275438,1.865125188,17.91034649,2.32E-05,0.000670242,Reproductive
GB45182,#N/A,#N/A,#N/A,-4.369122665,1.872014583,21.68747335,3.21E-06,0.000160398,Reproductive
GB55450,#N/A,XM_006568807.1," PREDICTED: Apis mellifera uncharacterized LOC724555 (LOC724555), transcript variant X2, mRNA",-3.60789988,4.378735012,23.21174244,1.45E-06,9.46E-05,Reproductive
GB44717,#N/A,#N/A,#N/A,-3.591225054,-2.228629254,11.59986191,0.000659567,0.007929417,Reproductive
GB41428,#N/A,NM_001011616.2," Apis mellifera defensin 1 (Def1), mRNA",-3.574440627,9.306666194,20.32154206,6.55E-06,0.000270667,Reproductive
GB54397,#N/A,XM_006557776.1," PREDICTED: Apis mellifera elongation of very long chain fatty acids protein AAEL008004-like (LOC102655009), mRNA",-3.431087771,2.185247267,29.05020731,7.05E-08,1.06E-05,Reproductive
GB47943,#N/A,XM_003250085.2," PREDICTED: Apis mellifera uncharacterized LOC100576982 (LOC100576982), mRNA",-3.334574391,6.725430877,12.90375982,0.000327923,0.004856836,Reproductive
GB51173,#N/A,XR_410539.1," PREDICTED: Apis mellifera uncharacterized LOC102655465 (LOC102655465), ncRNA",-3.308435782,1.949051348,19.75350212,8.81E-06,0.00032813,Reproductive
GB53264,#N/A,XM_006561886.1," PREDICTED: Apis mellifera uncharacterized LOC724395 (LOC724395), mRNA",-3.302778758,1.553079517,32.25067983,1.36E-08,3.36E-06,Reproductive
GB55449,#N/A,XM_006568807.1," PREDICTED: Apis mellifera uncharacterized LOC724555 (LOC724555), transcript variant X2, mRNA",-3.223206461,4.55085939,13.80607269,0.00020268,0.003371448,Reproductive
GB44975,#N/A,XM_006566491.1," PREDICTED: Apis mellifera uncharacterized LOC100577041 (LOC100577041), transcript variant X2, mRNA",-3.206406598,8.814476077,21.3643011,3.80E-06,0.000179785,Reproductive
GB49501,FBgn0261434,XM_006560696.1," PREDICTED: Apis mellifera zinc finger protein 780A-like (LOC100578561), mRNA",-3.199384067,3.286866501,23.0822579,1.55E-06,9.95E-05,Reproductive
GB42182,#N/A,XM_006557375.1," PREDICTED: Apis mellifera uncharacterized LOC100578571 (LOC100578571), mRNA",-3.138755905,7.732649487,13.16767757,0.00028482,0.004345499,Reproductive
GB47484,#N/A,XM_003251570.2," PREDICTED: Apis mellifera uncharacterized LOC100578881 (LOC100578881), mRNA",-3.098481466,1.470642115,22.25770733,2.38E-06,0.000132051,Reproductive
GB55171,FBgn0041709,XM_006558944.1," PREDICTED: Apis mellifera yellow-g (Y-g), transcript variant X1, mRNA",-3.086552656,6.671856017,10.83408422,0.000996486,0.010493832,Reproductive
GB52832,#N/A,XM_003250893.2," PREDICTED: Apis mellifera uncharacterized LOC100578025 (LOC100578025), mRNA",-3.085648709,9.71463678,10.15081463,0.001442375,0.013690399,Reproductive
GB55201,FBgn0035328,XM_006558943.1," PREDICTED: Apis mellifera yellow-g2 (Y-g2), transcript variant X1, mRNA",-3.078606818,7.597275373,12.30711652,0.000451235,0.006062741,Reproductive
GB54969,FBgn0050172,NM_001078661.1," Apis mellifera chemosensory protein 5 (LOC751767), mRNA",-3.067998258,3.592913964,33.80185765,6.10E-09,1.93E-06,Reproductive
