Sample	Rep_status	Line	MatxPat	Both_tissues	individual	Tissue	Allele	Block
X8754AQ	Reproductive	L875	ExA	yes	8754	FBO	Queen	A
X875cAQ	Reproductive	L875	ExA	yes	875c	FBO	Queen	A
X875gAQ	Reproductive	L875	ExA	no	875g	FBO	Queen	A
X8820AQ	Reproductive	L882	ExA	no	8820	FBO	Queen	B
X882cAQ	Reproductive	L882	ExA	yes	882c	FBO	Queen	B
X882pAQ	Reproductive	L882	ExA	yes	882p	FBO	Queen	B
X888aAQ	Reproductive	L888	AxE	yes	888a	FBO	Queen	A
X888hAQ	Reproductive	L888	AxE	yes	888h	FBO	Queen	A
X888jAQ	Reproductive	L888	AxE	yes	888j	FBO	Queen	A
X894bAQ	Reproductive	L894	AxE	no	894b	FBO	Queen	B
X894qAQ	Reproductive	L894	AxE	yes	894q	FBO	Queen	B
X894rAQ	Reproductive	L894	AxE	no	894r	FBO	Queen	B
X8751IQ	Sterile	L875	ExA	yes	8751	FBO	Queen	A
X8756IQ	Sterile	L875	ExA	no	8756	FBO	Queen	A
X875aIQ	Sterile	L875	ExA	yes	875a	FBO	Queen	A
X8827IQ	Sterile	L882	ExA	yes	8827	FBO	Queen	B
X882gIQ	Sterile	L882	ExA	yes	882g	FBO	Queen	B
X882kIQ	Sterile	L882	ExA	yes	882k	FBO	Queen	B
X882mIQ	Sterile	L882	ExA	no	882m	FBO	Queen	B
X888eIQ	Sterile	L888	AxE	yes	888e	FBO	Queen	A
X888qIQ	Sterile	L888	AxE	yes	888q	FBO	Queen	A
X888uIQ	Sterile	L888	AxE	yes	888u	FBO	Queen	A
X894cIQ	Sterile	L894	AxE	yes	894c	FBO	Queen	B
X894fIQ	Sterile	L894	AxE	yes	894f	FBO	Queen	B
X894iIQ	Sterile	L894	AxE	yes	894i	FBO	Queen	B
X8754AD	Reproductive	L875	ExA	yes	8754	FBO	Drone	A
X875cAD	Reproductive	L875	ExA	yes	875c	FBO	Drone	A
X875gAD	Reproductive	L875	ExA	no	875g	FBO	Drone	A
X8820AD	Reproductive	L882	ExA	no	8820	FBO	Drone	B
X882cAD	Reproductive	L882	ExA	yes	882c	FBO	Drone	B
X882pAD	Reproductive	L882	ExA	yes	882p	FBO	Drone	B
X888aAD	Reproductive	L888	AxE	yes	888a	FBO	Drone	A
X888hAD	Reproductive	L888	AxE	yes	888h	FBO	Drone	A
X888jAD	Reproductive	L888	AxE	yes	888j	FBO	Drone	A
X894bAD	Reproductive	L894	AxE	no	894b	FBO	Drone	B
X894qAD	Reproductive	L894	AxE	yes	894q	FBO	Drone	B
X894rAD	Reproductive	L894	AxE	no	894r	FBO	Drone	B
X8751ID	Sterile	L875	ExA	yes	8751	FBO	Drone	A
X8756ID	Sterile	L875	ExA	no	8756	FBO	Drone	A
X875aID	Sterile	L875	ExA	yes	875a	FBO	Drone	A
X8827ID	Sterile	L882	ExA	yes	8827	FBO	Drone	B
X882gID	Sterile	L882	ExA	yes	882g	FBO	Drone	B
X882kID	Sterile	L882	ExA	yes	882k	FBO	Drone	B
X882mID	Sterile	L882	ExA	no	882m	FBO	Drone	B
X888eID	Sterile	L888	AxE	yes	888e	FBO	Drone	A
X888qID	Sterile	L888	AxE	yes	888q	FBO	Drone	A
X888uID	Sterile	L888	AxE	yes	888u	FBO	Drone	A
X894cID	Sterile	L894	AxE	yes	894c	FBO	Drone	B
X894fID	Sterile	L894	AxE	yes	894f	FBO	Drone	B
X894iID	Sterile	L894	AxE	yes	894i	FBO	Drone	B
