Sample	Rep_status	Line	MatxPat	Both_tissues	individual	Tissue	Allele	Block
X8754AQ	1	L875	1	yes	8754	0	0	0
X875cAQ	1	L875	1	yes	875c	0	0	0
X875gAQ	1	L875	1	no	875g	0	0	0
X8820AQ	1	L882	1	no	8820	0	0	1
X882cAQ	1	L882	1	yes	882c	0	0	1
X882pAQ	1	L882	1	yes	882p	0	0	1
X888aAQ	1	L888	0	yes	888a	0	0	0
X888hAQ	1	L888	0	yes	888h	0	0	0
X888jAQ	1	L888	0	yes	888j	0	0	0
X894bAQ	1	L894	0	no	894b	0	0	1
X894qAQ	1	L894	0	yes	894q	0	0	1
X894rAQ	1	L894	0	no	894r	0	0	1
X8751IQ	0	L875	1	yes	8751	0	0	0
X8756IQ	0	L875	1	no	8756	0	0	0
X875aIQ	0	L875	1	yes	875a	0	0	0
X8827IQ	0	L882	1	yes	8827	0	0	1
X882gIQ	0	L882	1	yes	882g	0	0	1
X882kIQ	0	L882	1	yes	882k	0	0	1
X882mIQ	0	L882	1	no	882m	0	0	1
X888eIQ	0	L888	0	yes	888e	0	0	0
X888qIQ	0	L888	0	yes	888q	0	0	0
X888uIQ	0	L888	0	yes	888u	0	0	0
X894cIQ	0	L894	0	yes	894c	0	0	1
X894fIQ	0	L894	0	yes	894f	0	0	1
X894iIQ	0	L894	0	yes	894i	0	0	1
X8754AD	1	L875	1	yes	8754	0	1	0
X875cAD	1	L875	1	yes	875c	0	1	0
X875gAD	1	L875	1	no	875g	0	1	0
X8820AD	1	L882	1	no	8820	0	1	1
X882cAD	1	L882	1	yes	882c	0	1	1
X882pAD	1	L882	1	yes	882p	0	1	1
X888aAD	1	L888	0	yes	888a	0	1	0
X888hAD	1	L888	0	yes	888h	0	1	0
X888jAD	1	L888	0	yes	888j	0	1	0
X894bAD	1	L894	0	no	894b	0	1	1
X894qAD	1	L894	0	yes	894q	0	1	1
X894rAD	1	L894	0	no	894r	0	1	1
X8751ID	0	L875	1	yes	8751	0	1	0
X8756ID	0	L875	1	no	8756	0	1	0
X875aID	0	L875	1	yes	875a	0	1	0
X8827ID	0	L882	1	yes	8827	0	1	1
X882gID	0	L882	1	yes	882g	0	1	1
X882kID	0	L882	1	yes	882k	0	1	1
X882mID	0	L882	1	no	882m	0	1	1
X888eID	0	L888	0	yes	888e	0	1	0
X888qID	0	L888	0	yes	888q	0	1	0
X888uID	0	L888	0	yes	888u	0	1	0
X894cID	0	L894	0	yes	894c	0	1	1
X894fID	0	L894	0	yes	894f	0	1	1
X894iID	0	L894	0	yes	894i	0	1	1
