""	X8754AD	X875cAD	X875gAD	X8820AD	X882cAD	X882pAD	X888aAD	X888hAD	X888jAD	X894bAD	X894qAD	X894rAD	X8754AQ	X875cAQ	X875gAQ	X8820AQ	X882cAQ	X882pAQ	X888aAQ	X888hAQ	X888jAQ	X894bAQ	X894qAQ	X894rAQ
GB40001	0	0	0	1	0	0	18	75	121	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
GB40002	2	3	6	0	0	0	0	0	1	2	5	5	0	0	4	1	3	0	0	6	0	1	0	0
GB40006	63	30	31	15	16	33	37	52	63	52	52	44	55	33	29	16	15	23	35	52	63	52	51	38
GB40007	410	319	271	40	55	141	230	218	199	236	293	298	348	271	225	38	12	46	179	145	182	178	185	175
GB40008	535	129	1147	281	264	1301	582	588	326	1017	872	1197	491	106	1207	280	202	1129	536	539	340	980	755	969
GB40009	4900	48	4629	490	1104	4649	2215	1301	715	2386	4669	3538	4012	31	3882	446	753	2939	1962	1159	235	2315	2987	2478
GB40010	1974	260	3359	1250	801	2629	1897	2026	1583	2923	2541	3276	1855	244	3077	1163	742	2417	1652	1780	1321	2437	2043	2585
GB40015	0	7	1	0	0	4	2	7	0	0	0	1	0	7	1	0	0	3	4	4	0	0	0	0
GB40016	66	74	165	9	6	41	67	167	64	39	16	85	61	69	161	9	5	40	67	157	55	41	17	83
GB40020	21	70	76	20	26	71	36	46	17	46	37	64	20	67	70	30	2	4	34	40	30	46	37	64
GB40021	306	341	876	32	237	974	436	272	34	203	1002	521	240	326	706	44	51	233	485	334	68	157	831	421
GB40022	36	26	16	4	9	19	46	72	32	29	13	15	36	26	16	12	0	3	0	0	31	29	13	15
GB40025	0	0	7	1	0	0	2	0	0	2	0	0	0	1	14	0	0	0	10	6	0	4	6	0
GB40026	0	0	20	1	1	1	1	17	19	17	2	18	0	0	20	0	0	1	1	19	51	19	1	18
GB40027	7	9	24	10	3	16	1	16	11	17	6	16	5	7	23	4	0	4	6	12	14	15	6	13
GB40028	306	341	876	32	237	974	436	272	34	203	1002	521	240	326	706	44	51	233	485	334	68	157	831	421
GB40030	1	4	7	14	5	7	10	17	8	10	12	13	0	1	1	14	2	4	7	19	8	10	12	13
GB40033	12	21	35	18	14	39	48	24	19	31	35	14	12	21	35	17	14	39	48	24	19	31	35	14
GB40035	0	0	0	2	0	0	2	0	0	9	2	2	5	2	2	0	0	1	0	3	3	0	0	2
GB40053	0	5	2	0	0	1	2	2	3	2	0	1	1	33	10	1	0	1	0	0	0	2	0	1
GB40061	1729	804	4791	1292	765	1833	465	2278	2348	1680	646	1586	1651	795	4801	1516	871	2036	448	2264	2334	1934	787	1913
GB40064	0	0	3	0	0	1	0	1	2	0	2	2	0	0	3	0	0	0	0	1	2	0	2	2
GB40066	8	5	14	5	17	12	60	19	36	10	11	19	3	4	11	1	7	14	49	16	30	5	9	13
GB40069	99	59	376	79	63	123	88	90	34	61	69	167	94	45	280	84	60	122	79	80	35	70	64	154
GB40074	155	128	117	35	55	92	49	87	102	62	175	277	127	116	92	47	81	77	27	70	95	52	148	230
GB40076	121	595	651	121	104	1143	438	253	294	740	850	592	119	724	435	101	84	925	430	243	294	570	727	539
GB40077	559	5473	16265	3381	2343	11385	6900	5575	3135	6728	5252	8372	495	5427	11939	3312	1938	11278	5875	5870	3223	6813	5218	6225
GB40079	0	2	8	1	8	20	26	13	28	20	0	28	0	0	8	1	4	12	30	12	13	28	0	28
GB40080	18	14	116	4	80	158	239	169	183	199	1	286	17	17	114	5	40	82	277	210	109	320	3	80
GB40085	0	1	1	0	1	0	2	2	2	1	0	0	1	0	2	0	0	0	1	2	2	0	0	0
GB40086	131	124	181	41	54	90	154	163	100	188	113	153	116	99	175	46	52	98	150	162	96	177	107	148
GB40087	808	147	733	345	158	342	383	574	419	444	148	287	810	149	740	341	152	337	351	418	305	443	142	290
GB40088	52	7	52	25	12	22	28	34	30	30	8	18	52	7	52	25	11	22	26	23	22	30	8	18
GB40089	1059	132	912	700	240	479	496	728	710	634	195	468	1061	134	919	703	236	468	475	631	637	636	194	466
GB40090	67	31	50	9	15	67	24	20	18	12	43	32	67	31	50	4	0	2	2	26	28	11	18	16
GB40091	94	243	225	119	84	244	254	447	306	206	169	161	117	89	113	94	50	155	272	324	229	197	146	158
GB40092	0	0	2	1	0	4	0	6	4	0	2	0	0	0	8	1	0	7	0	6	4	0	2	0
GB40095	431	196	497	133	32	129	226	252	118	292	295	328	381	186	461	129	26	118	182	234	109	291	275	303
GB40100	8	0	20	21	13	88	13	13	6	49	20	48	9	0	22	0	0	0	13	13	6	49	20	48
GB40108	546	1667	1481	1429	686	2423	1761	2405	1729	1473	1531	1283	552	1626	1472	1419	700	2406	1762	2406	1730	1466	1514	1278
GB40109	1042	2402	3684	1861	660	2230	1839	3689	1787	2282	1709	1911	958	2398	3612	1847	657	2215	1812	3699	1810	2163	1667	1882
GB40110	20	33	74	3	4	136	34	22	44	44	59	27	14	29	63	6	5	124	37	21	44	43	57	30
GB40112	12	2	30	26	19	147	24	37	9	76	40	87	11	2	32	2	5	40	25	27	7	69	35	79
GB40115	0	2	1	0	0	0	1	0	1	0	0	3	0	0	1	0	0	0	1	1	0	0	1	1
GB40119	2	46	23	0	6	30	48	48	8	26	31	18	2	46	23	6	7	30	37	0	0	11	26	22
GB40124	65	168	156	72	54	171	180	268	227	162	138	96	90	38	56	56	44	136	192	190	173	159	118	115
GB40125	0	5	6	2	0	17	15	21	9	1	2	24	1	5	5	2	0	15	15	16	8	0	0	21
GB40126	373	1201	1361	1118	460	1011	602	583	403	383	333	590	369	1195	1364	1120	459	1017	679	925	439	366	339	587
GB40128	457	112	513	244	183	278	304	418	283	363	333	474	455	109	515	241	180	236	297	414	282	362	320	470
GB40132	2718	2203	3920	1209	1232	1960	3244	3916	2111	3431	2383	3552	2652	2011	3803	1217	1126	1912	3188	3845	2084	3340	2301	3502
GB40133	157	76	329	236	67	80	83	128	99	166	100	165	158	75	326	244	69	80	84	128	99	164	99	166
GB40134	22135	7773	56186	17370	8030	17864	16135	26005	12625	21942	14564	28184	21538	7753	54232	17742	5974	13934	15928	24889	12013	21201	13985	25184
GB40135	11	45	97	53	27	136	73	28	10	86	38	126	9	18	59	17	26	110	62	20	6	54	29	84
GB40136	60	142	4	19	24	39	2	23	52	1522	558	289	60	145	5	12	31	29	4	26	53	1529	619	127
GB40137	7	83	0	0	14	5	0	0	9	31	230	19	3	90	0	4	21	12	2	1	14	88	528	6
GB40138	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	4	0	1	2	1
GB40140	592	365	930	472	478	763	741	579	336	948	639	1165	503	317	860	214	239	344	629	466	259	859	542	1039
GB40141	27	118	94	1	8	53	100	53	6	12	59	78	27	118	94	0	9	30	0	55	10	3	15	0
GB40142	1	13	19	0	8	17	17	3	1	34	10	8	1	12	21	18	8	12	16	4	2	28	9	19
GB40144	24	11	73	0	8	56	66	11	18	64	29	37	14	12	67	3	0	47	64	21	10	65	11	15
GB40145	42	54	93	29	33	143	81	53	38	108	106	107	24	14	92	20	31	95	80	31	26	100	87	106
