Sample	Rep_status	Line	MatxPat	Both_tissues	individual	Tissue	Allele	Block
S1_drone_875A	1	L875	0	no	875X	1	1	0
S1_queen_875A	1	L875	0	no	875X	1	0	0
S2_drone_875A	1	L875	0	yes	875C	1	1	0
S2_queen_875A	1	L875	0	yes	875C	1	0	0
S3_drone_875A	1	L875	0	yes	8754	1	1	0
S3_queen_875A	1	L875	0	yes	8754	1	0	0
S13_drone_882A	1	L882	0	yes	882C	1	1	1
S13_queen_882A	1	L882	0	yes	882C	1	0	1
S14_drone_882A	1	L882	0	yes	882P	1	1	1
S14_queen_882A	1	L882	0	yes	882P	1	0	1
S15_drone_882A	1	L882	0	no	8822	1	1	1
S15_queen_882A	1	L882	0	no	8822	1	0	1
S7_drone_888I	1	L888	1	yes	888A	1	1	0
S7_queen_888I	1	L888	1	yes	888A	1	0	0
S8_drone_888I	1	L888	1	yes	888H	1	1	0
S8_queen_888I	1	L888	1	yes	888H	1	0	0
S9_drone_888I	1	L888	1	yes	888J	1	1	0
S9_queen_888I	1	L888	1	yes	888J	1	0	0
S19_drone_894A	1	L894	1	no	894X	1	1	1
S19_queen_894A	1	L894	1	no	894X	1	0	1
S20_drone_894A	1	L894	1	no	894E	1	1	1
S20_queen_894A	1	L894	1	no	894E	1	0	1
S21_drone_894A	1	L894	1	yes	894Q	1	1	1
S21_queen_894A	1	L894	1	yes	894Q	1	0	1
S4_drone_875I	0	L875	0	yes	8751	1	1	0
S4_queen_875I	0	L875	0	yes	8751	1	0	0
S5_drone_875I	0	L875	0	no	875E	1	1	0
S5_queen_875I	0	L875	0	no	875E	1	0	0
S6_drone_875I	0	L875	0	yes	875A	1	1	0
S6_queen_875I	0	L875	0	yes	875A	1	0	0
S16_drone_882I	0	L882	0	yes	882G	1	1	1
S16_queen_882I	0	L882	0	yes	882G	1	0	1
S17_drone_882I	0	L882	0	yes	882K	1	1	1
S17_queen_882I	0	L882	0	yes	882K	1	0	1
S18_drone_882I	0	L882	0	yes	8827	1	1	1
S18_queen_882I	0	L882	0	yes	8827	1	0	1
S10_drone_888A	0	L888	1	yes	888E	1	1	0
S10_queen_888A	0	L888	1	yes	888E	1	0	0
S11_drone_888A	0	L888	1	yes	888Q	1	1	0
S11_queen_888A	0	L888	1	yes	888Q	1	0	0
S12_drone_888A	0	L888	1	yes	888U	1	1	0
S12_queen_888A	0	L888	1	yes	888U	1	0	0
S22_drone_894I	0	L894	1	yes	894C	1	1	1
S22_queen_894I	0	L894	1	yes	894C	1	0	1
S23_drone_894I	0	L894	1	yes	894F	1	1	1
S23_queen_894I	0	L894	1	yes	894F	1	0	1
S24_drone_894I	0	L894	1	yes	894I	1	1	1
S24_queen_894I	0	L894	1	yes	894I	1	0	1
