"","ID","GeneID","GenbankID","OtherID"
"1","rna0","551580"," Genbank:XM_623972.6","GB42195"
"2","rna1","551580"," Genbank:XR_001705491.2","GB42195"
"3","rna2","551580"," Genbank:XR_001705490.2","GB42195"
"4","rna3","551555"," Genbank:XM_006557405.3","GB42138"
"5","rna4","551555"," Genbank:XM_006557404.3","GB42138"
"6","rna5","551555"," Genbank:XM_623949.6","GB42138"
"7","rna6","551555"," Genbank:XM_006557406.3","GB42138"
"8","rna7","726347"," Genbank:XM_026446303.1","GB42194"
"9","rna8","409940"," Genbank:XM_026439913.1","GB42139"
"10","rna9","409940"," Genbank:NM_001242554.1","GB42139"
"11","rna10","726145"," Genbank:XM_016917677.1","GB42193"
"12","rna11","726145"," Genbank:XM_016917679.2","GB42193"
"13","rna12","551448"," Genbank:XM_016917662.2","GB42140"
"14","rna13","551448"," Genbank:XM_026440071.1","GB42140"
"15","rna14","551448"," Genbank:XM_016917667.2","GB42140"
"16","rna15","551448"," Genbank:XM_006557400.3","GB42140"
"17","rna16","551448"," Genbank:XM_016917672.2","GB42140"
"18","rna17","410665"," Genbank:XM_394142.7","GB42192"
"19","rna18","408567"," Genbank:XM_392111.7","GB42141"
"20","rna19","107964061"," Genbank:XM_016910851.2)",""
"21","rna20","107964061"," Genbank:XM_016910856.2)",""
"22","rna21","107964068"," Genbank:XR_001702207.2)",""
"23","rna22","113219112"," Genbank:XM_026443867.1)",""
"24","rna23","726450"," Genbank:XM_006557392.2","GB42142"
"25","rna24","107964063"," Genbank:XR_001702201.2)",""
"26","rna25","113219111"," Genbank:XM_026443863.1)",""
"27","rna26","410664"," Genbank:XM_006557389.3","GB42190"
"28","rna27","410664"," Genbank:XM_026443894.1","GB42190"
"29","rna28","410664"," Genbank:XM_394141.4","GB42190"
"30","rna29","410664"," Genbank:XM_006557388.1","GB42190"
"31","rna30","408565"," Genbank:XM_006557391.3","GB42143"
"32","rna31","408565"," Genbank:XM_392109.6","GB42143"
"33","rna32","408565"," Genbank:XM_016910832.2","GB42143"
"34","rna33","410663"," Genbank:XM_006557387.3","GB42189"
"35","rna34","410663"," Genbank:XM_394140.7","GB42189"
"36","rna35","113219398"," Genbank:XM_026446104.1)",""
"37","rna36","726544"," Genbank:XM_016910793.2","GB42188"
"38","rna37","726544"," Genbank:XM_006557376.3","GB42188"
"39","rna38","726544"," Genbank:XM_016910803.2","GB42188"
"40","rna39","726544"," Genbank:XM_006557380.3","GB42188"
"41","rna40","726544"," Genbank:XM_006557381.3","GB42188"
"42","rna41","726544"," Genbank:XM_001122271.5","GB42188"
"43","rna42","726544"," Genbank:XM_006557386.3","GB42188"
"44","rna43","726544"," Genbank:XM_006557383.3","GB42188"
"45","rna44","726544"," Genbank:XM_006557382.3","GB42188"
"46","rna45","726544"," Genbank:XM_006557384.3","GB42188"
"47","rna46","726544"," Genbank:XM_006557379.3","GB42188"
"48","rna47","726544"," Genbank:XM_006557385.3","GB42188"
"49","rna48","726544"," Genbank:XM_016910810.2","GB42188"
"50","rna49","732506"," Genbank:NR_031523.1"," miRBase:MI0001590)"
"51","rna50","732506"," miRBase:MIMAT0001485"," miRBase:MI0001590)"
"52","rna51","732505"," Genbank:NR_031522.1"," miRBase:MI0001589)"
"53","rna52","732505"," miRBase:MIMAT0001485"," miRBase:MI0001589)"
"54","rna53","104796173"," Genbank:NR_127369.1"," miRBase:MI0031814)"
"55","rna54","104796173"," miRBase:MIMAT0037292"," miRBase:MI0031814)"
"56","rna55","100315690"," Genbank:NR_034307.1"," miRBase:MI0010609)"
"57","rna56","100315690"," miRBase:MIMAT0010114"," miRBase:MI0010609)"
"58","rna57","100315660"," Genbank:NR_034285.1"," miRBase:MI0005730)"
"59","rna58","100315660"," miRBase:MIMAT0004422"," miRBase:MI0005730)"
"60","rna59","100315662"," Genbank:NR_034287.1"," miRBase:MI0005732)"
"61","rna60","100315662"," miRBase:MIMAT0001485"," miRBase:MI0005732)"
"62","rna61","100315669"," Genbank:NR_034296.1"," miRBase:MI0005741)"
"63","rna62","100315669"," miRBase:MIMAT0004432"," miRBase:MI0005741)"
"64","rna63","410772"," Genbank:XR_003305810.1","GB42186"
"65","rna64","410772"," Genbank:XM_026444102.1","GB42186"
"66","rna65","410772"," Genbank:XM_394248.6","GB42186"
"67","rna66","551203"," Genbank:XM_026446225.1","GB42145"
"68","rna67","551203"," Genbank:XM_026446229.1","GB42145"
"69","rna68","551203"," Genbank:XM_026446228.1","GB42145"
"70","rna69","551203"," Genbank:XM_026446230.1","GB42145"
"71","rna70","551203"," Genbank:XM_026446227.1","GB42145"
"72","rna71","551203"," Genbank:XM_026446232.1","GB42145"
"73","rna72","551203"," Genbank:XM_026446234.1","GB42145"
"74","rna73","551203"," Genbank:XM_026446237.1","GB42145"
"75","rna74","551203"," Genbank:XM_026446226.1","GB42145"
"76","rna75","551203"," Genbank:XM_026446233.1","GB42145"
"77","rna76","551203"," Genbank:XM_026446235.1","GB42145"
"78","rna77","551203"," Genbank:XM_026446236.1","GB42145"
"79","rna78","551203"," Genbank:XM_026446231.1","GB42145"
"80","rna79","100578621"," Genbank:XM_026446241.1","GB42184"
"81","rna80","100578621"," Genbank:XM_026446239.1","GB42184"
