""	X8751ID	X8756ID	X875aID	X8827ID	X882gID	X882kID	X882mID	X888eID	X888qID	X888uID	X894cID	X894fID	X894iID	X8751IQ	X8756IQ	X875aIQ	X8827IQ	X882gIQ	X882kIQ	X882mIQ	X888eIQ	X888qIQ	X888uIQ	X894cIQ	X894fIQ	X894iIQ
GB40001	0	0	0	0	0	0	0	0	13	7	0	1	0	0	0	2	1	0	0	0	0	0	0	1	3	0
GB40002	6	4	11	5	2	4	0	0	0	1	11	2	9	8	2	4	0	0	2	5	0	9	0	16	0	0
GB40006	92	59	60	153	149	18	58	45	54	95	50	50	107	85	59	59	150	151	8	43	51	58	90	50	48	108
GB40007	474	357	345	722	672	100	204	208	304	623	299	190	444	420	338	298	685	584	48	169	180	291	488	190	115	398
GB40008	833	846	1090	877	1325	1073	1719	315	1322	833	1650	1669	774	870	846	1029	793	1257	985	1533	296	1309	648	1496	1467	740
GB40009	3168	3725	2448	2338	4486	4259	1597	447	1542	1372	4936	3884	1511	2258	3037	1931	2082	3639	2850	1314	135	480	1193	3187	2725	1401
GB40010	2569	3059	4702	2466	2994	3623	3343	703	2593	1541	4328	5029	1390	2343	2892	4385	2253	2681	2963	3033	762	2833	1400	3595	4443	1231
GB40016	20	52	159	2	19	6	13	4	43	11	20	106	7	21	48	159	1	17	4	16	1	28	7	11	85	8
GB40020	31	87	122	5	23	26	30	59	100	4	98	42	17	27	76	121	9	18	24	0	0	12	4	98	42	17
GB40021	850	696	74	232	344	253	112	658	85	120	616	608	307	724	546	63	323	413	345	43	164	24	150	527	513	251
GB40022	2	13	97	7	7	8	7	2	20	3	16	9	2	2	13	97	1	5	7	1	0	0	0	16	9	2
GB40025	1	2	2	1	0	0	0	1	0	0	1	0	0	2	1	3	0	2	3	1	0	1	0	2	1	0
GB40026	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0
GB40027	9	5	17	4	1	8	10	3	44	1	24	7	3	9	5	16	2	0	4	1	0	3	1	22	6	1
GB40028	850	703	75	232	344	257	113	661	85	121	627	616	307	724	553	64	323	413	349	44	167	24	151	538	540	251
GB40030	5	22	27	2	9	6	2	3	14	0	24	11	4	1	11	26	0	8	7	0	0	11	0	24	11	4
GB40033	8	28	23	5	4	20	15	8	19	4	35	30	6	8	28	23	5	4	20	15	8	19	4	35	30	6
GB40053	2	1	0	0	1	1	0	0	0	0	1	1	0	0	19	13	0	0	2	2	5	17	0	1	1	0
GB40061	1774	2502	7169	1357	1300	1282	2148	431	1640	341	1797	1786	371	1712	2478	7135	1402	1194	2434	2199	404	1620	322	2073	1936	652
GB40064	0	5	2	0	0	0	4	0	0	0	1	3	0	0	5	2	0	0	5	2	0	0	0	1	3	0
GB40066	8	82	50	8	10	12	6	4	51	2	17	23	2	10	101	26	9	9	5	3	3	53	4	16	19	2
GB40069	45	89	190	55	109	143	182	32	61	33	340	215	35	47	56	165	57	129	154	193	27	61	32	377	216	35
GB40072	35	96	267	60	56	123	158	37	129	18	131	177	36	35	96	267	60	56	123	158	37	129	18	131	177	36
GB40074	99	225	942	35	179	192	171	53	202	26	315	180	25	72	193	897	38	185	216	166	50	190	25	305	171	9
GB40076	397	301	531	408	473	721	1288	278	937	278	1023	1436	256	456	249	462	348	398	778	1099	276	929	274	849	1268	232
GB40077	5167	13369	4442	3788	7149	6362	12869	2615	7592	2394	8021	22283	2092	5157	13546	4288	3672	6939	6401	12798	2484	7649	2483	8356	17035	2173
GB40079	16	0	21	4	21	16	0	12	0	0	19	17	0	16	0	21	4	13	16	12	24	4	8	22	8	0
GB40080	162	6	227	138	85	41	32	129	3	6	96	165	0	161	10	222	136	6	44	192	250	44	86	133	84	0
GB40081	0	16	32	0	0	20	15	0	0	0	15	5	0	0	16	32	0	0	20	15	0	0	0	15	5	0
GB40086	108	133	312	189	117	59	101	70	271	35	197	174	7	91	125	297	186	114	84	97	72	277	29	182	162	2
