nodeName	altName	nodeAttr.nodesPresent...
GB40506	NA	52
GB41203	725932	52
GB41595	NA	52
GB41695	727284	52
GB41785	100577332	52
GB42377	100577214	52
GB42422	406075	52
GB42482	412810	52
GB42551	551437	52
GB43057	NA	52
GB43456	410902	52
GB43584	100577682	52
GB44002	410038	52
GB44073	410997	52
GB44099	726827	52
GB44842	409024	52
GB44858	NA	52
GB45220	411457	52
GB45937	408563	52
GB46564	409051	52
GB46868	NA	52
GB47217	412591	52
GB47298	NA	52
GB47303	409203	52
GB47581	NA	52
GB47582	NA	52
GB47584	409655	52
GB48785	NA	52
GB49991	NA	52
GB50179	726978	52
GB50442	100577562	52
GB50586	410624	52
GB50874	551360	52
GB51337	725928	52
GB52025	410380	52
GB53070	408766	52
GB53142	100578557	52
GB53779	100578177	52
GB53791	726210	52
GB54294	408299	52
GB54645	NA	52
GB55378	551167	52
GB55547	408658	52
GB55591	408677	52
GB55620	NA	52
GB55664	NA	52
GB55885	NA	52
GB55912	NA	52
