nodeName	altName	nodeAttr.nodesPresent...
GB40094	100216489	42
GB40387	NA	42
GB41401	724787	42
GB42368	NA	42
GB42380	NA	42
GB42697	409600	42
GB42723	411924	42
GB43208	552446	42
GB43435	NA	42
GB43505	NA	42
GB43579	NA	42
GB43835	NA	42
GB43898	NA	42
GB44086	726602	42
GB44214	NA	42
GB44452	100578085	42
GB44924	NA	42
GB45231	NA	42
GB45906	410087	42
GB48590	NA	42
GB48591	NA	42
GB48769	NA	42
GB48790	408272	42
GB49434	NA	42
GB49448	409180	42
GB49449	409179	42
GB49450	NA	42
GB49451	726666	42
GB49452	NA	42
GB49454	NA	42
GB49455	NA	42
GB49456	551770	42
GB49458	411849	42
GB49485	726436	42
GB49488	552745	42
GB49493	NA	42
GB49495	552109	42
GB49496	411720	42
GB49545	411045	42
GB49885	412209	42
GB49886	NA	42
GB50029	NA	42
GB50247	100577551	42
GB50290	724917	42
GB50516	411570	42
GB50608	NA	42
GB50609	410620	42
GB50722	410884	42
GB50756	551849	42
GB51031	727650	42
GB51107	100578731	42
GB51801	NA	42
GB51979	552190	42
GB52155	NA	42
GB52278	NA	42
GB52407	100576816	42
GB52633	NA	42
GB53583	NA	42
GB54046	NA	42
GB54303	100577769	42
GB55374	551290	42
