"","Hubgenes_brain","Hubgenes_FBO"
"bisque4","GB49491","GB44992"
"black","GB43629","GB50652"
"blue","GB54668","GB43051"
"brown","GB43660","GB53743"
"brown4","GB45595","GB41463"
"cyan","GB52306","GB42495"
"darkgreen","GB42039","GB53049"
"darkgrey","GB54589","GB54589"
"darkmagenta","GB53746","GB44197"
"darkolivegreen","GB42845","GB40577"
"darkorange","GB45731","GB55873"
"darkorange2","GB45907","GB49653"
"darkred","GB53455","GB53455"
"darkseagreen4","GB53549","GB43615"
"darkslateblue","GB41674","GB42878"
"darkturquoise","GB40073","GB50990"
"floralwhite","GB49379","GB51487"
"green","GB48783","GB45926"
"greenyellow","GB42759","GB47328"
"grey60","GB50202","GB43234"
"honeydew1","GB49483","GB51291"
"ivory","GB53755","GB41912"
"lavenderblush3","GB42732","GB53566"
"lightcyan","GB53273","GB45752"
"lightcyan1","GB49454","GB50247"
"lightgreen","GB49994","GB48335"
"lightpink4","GB43360","GB41188"
"lightsteelblue1","GB53139","GB42408"
"lightyellow","GB51726","GB44373"
"magenta","GB50936","GB50936"
"maroon","GB41886","GB41877"
"mediumpurple3","GB41373","GB54609"
"midnightblue","GB46980","GB50515"
"navajowhite2","GB51440","GB46211"
"orange","GB50078","GB48367"
"orangered4","GB46265","GB44427"
"paleturquoise","GB53725","GB43722"
"palevioletred3","GB47187","GB44552"
"pink","GB44885","GB44021"
"plum1","GB45023","GB52776"
"plum2","GB42958","GB52254"
"purple","GB43388","GB50243"
"red","GB48556","GB43999"
"royalblue","GB41305","GB56029"
"saddlebrown","GB41734","GB43095"
"salmon","GB43562","GB53664"
"salmon4","GB46564","GB53791"
"sienna3","GB48124","GB55693"
"skyblue","GB42747","GB54394"
"skyblue3","GB40443","GB40450"
"steelblue","GB41776","GB41413"
"tan","GB55703","GB46371"
"thistle1","GB52367","GB40922"
"thistle2","GB41523","GB55855"
"turquoise","GB49152","GB47556"
"violet","GB43052","GB41495"
"white","GB53429","GB49069"
"yellow","GB55111","GB41131"
"yellowgreen","GB49457","GB45020"
