	background	ME23	ME25	ME12	ME21	ME31	ME47	ME13	ME39	ME27	ME5	ME10	ME40	ME7	ME33	ME4	ME11	ME49	ME6	ME15	ME44	ME14	ME19	ME55	ME57	ME1	ME16	ME24	ME51	ME34	ME54	ME3	ME50	ME17	ME9	ME26	ME22	ME20	ME45	ME36	ME53	ME58	ME18	ME30	ME35	ME37	ME8	ME59	ME43	ME38	ME56	ME46	ME28	ME2	ME41	ME48	ME29	ME52	ME32	ME42	ME0
1	NA	408424	726759	409961	100576924	409959	NA	NA	NA	NA	412747	100576828	413184	NA	100577582	NA	724712	408434	408426	726040	NA	NA	NA	552084	411359	NA	409369	410441	NA	NA	NA	413550	100576428	410442	NA	725753	NA	100576246	NA	NA	NA	NA	NA	NA	NA	552377	410448	413914	552600	724418	412876	100576839	NA	NA	725619	NA	NA	NA	725246	100216489	NA
2	NA	NA	NA	NA	412439	726359	551055	NA	NA	413064	410446	NA	726537	410039	100578132	NA	411576	NA	NA	413369	410368	551248	412284	552279	413620	NA	412115	413029	NA	408430	NA	NA	NA	NA	410439	408433	NA	NA	724911	NA	552772	NA	552393	NA	725967	NA	NA	411171	551950	551765	724865	NA	NA	410454	NA	NA	413549	725932	409881	NA	NA
3	NA	725438	725087	NA	NA	NA	408883	100576212	100576482	412637	410459	NA	NA	552354	412104	410463	411775	413740	410451	NA	NA	100576146	413556	412687	411272	NA	NA	100578828	NA	726710	NA	NA	NA	100576110	NA	552656	410452	726636	NA	551227	NA	NA	411770	411814	552330	411525	NA	408481	726381	412041	100577513	NA	NA	100578263	413721	NA	725498	NA	NA	724787	NA
4	NA	NA	NA	410456	410362	100576096	NA	413720	724784	NA	NA	725052	552325	410462	413129	552108	409026	NA	725856	409372	408478	552129	411698	725234	408966	410447	413663	551869	NA	100578992	NA	NA	NA	NA	NA	725159	NA	551029	406119	NA	551308	NA	724191	409250	727126	NA	409715	551904	552024	410550	NA	408958	552177	NA	NA	725331	409736	727284	NA	NA	NA
5	551356	409934	NA	NA	NA	100576478	726839	726673	100578191	NA	100576555	NA	100576608	552210	NA	100576298	552555	551885	NA	NA	551747	410142	413252	552696	411712	408431	551185	412268	NA	410438	552550	NA	408890	NA	726648	550975	NA	100577888	726871	NA	100578864	100577430	552494	411881	726908	NA	413892	411141	724749	NA	726260	NA	409616	NA	NA	727008	NA	100577332	NA	NA	551356
6	NA	551971	NA	NA	409283	409153	551180	726586	725298	100578068	727025	NA	NA	726613	NA	NA	413253	NA	NA	100577756	727324	552400	726482	552051	726197	NA	100576663	411124	NA	NA	551860	100578090	NA	NA	726599	409195	NA	725669	552528	100578704	411217	NA	726013	NA	552263	409196	NA	552375	NA	408871	725258	552281	NA	408429	NA	551446	409778	100577214	NA	409600	NA
7	NA	726312	NA	NA	NA	727108	NA	NA	NA	NA	NA	409521	NA	NA	412170	NA	413275	551841	NA	552247	726981	NA	412635	413724	409515	NA	551962	NA	552684	NA	551832	100578023	726240	413254	410449	413664	724590	100576300	NA	NA	NA	NA	550711	NA	726572	NA	NA	NA	725832	725026	100577805	NA	NA	408427	NA	NA	NA	406075	NA	411924	NA
8	NA	413686	410031	NA	NA	NA	NA	100577302	725328	NA	412547	100578522	409492	NA	552055	551834	411974	727119	NA	552070	NA	410158	412326	725571	413096	NA	412616	NA	NA	NA	724785	NA	NA	411771	725354	NA	100577024	411467	NA	725352	NA	100126690	725309	NA	724608	727393	410018	NA	412780	100577440	406152	NA	411630	NA	NA	NA	100578584	412810	NA	552446	NA
9	551280	409187	408891	408380	NA	NA	NA	724519	NA	NA	NA	NA	100577221	552156	413548	NA	NA	100578355	100576458	725690	410278	NA	NA	411923	413763	100576488	NA	NA	NA	409565	NA	100577222	100577168	NA	408421	726662	NA	413588	NA	NA	NA	NA	406108	725215	NA	NA	406154	NA	411392	724907	413087	408884	NA	724462	411213	410553	410915	551437	NA	NA	551280
10	724904	NA	552824	NA	NA	411679	NA	552631	NA	406128	412308	100576863	413030	409955	NA	413340	551270	NA	NA	100576801	406131	NA	412650	NA	100577335	412187	544670	410567	NA	NA	725708	NA	408995	100578238	NA	NA	551717	413718	408321	NA	NA	NA	409589	725552	725593	NA	NA	NA	551401	551077	724951	NA	NA	NA	408922	408964	NA	NA	NA	NA	724904
11	413018	409405	NA	NA	408862	551263	NA	412249	724290	NA	NA	551090	NA	409954	552574	100577722	NA	727520	413539	NA	408447	412676	410105	552331	552460	NA	NA	412296	726796	NA	724895	408432	NA	NA	NA	100577727	551301	413807	NA	NA	725364	NA	551867	551975	NA	408926	409836	NA	100579008	NA	412101	413460	724565	NA	NA	NA	NA	410902	725404	NA	413018
12	551111	NA	100578252	NA	NA	724348	412348	727274	NA	100577185	NA	NA	NA	NA	100578046	411240	552720	NA	412351	NA	726554	551174	NA	NA	552447	413618	412824	NA	NA	NA	NA	726547	NA	412444	409963	NA	725573	100578893	100578995	726020	NA	724202	551519	443552	724568	552217	NA	410482	NA	NA	NA	NA	412956	409257	NA	NA	408888	100577682	NA	NA	551111
