"","FBO 0","FBO 1","FBO 2","FBO 3","FBO 4","FBO 5","FBO 6","FBO 7","FBO 8","FBO 9","FBO 10","FBO 11","FBO 12","FBO 13","FBO 14","FBO 15","FBO 16","FBO 17","FBO 18","FBO 19","FBO 20","FBO 21","FBO 22","background"
"1","GB41571","GB40005","GB40001","GB40031","GB40014","GB40019","GB40002","GB40009","GB40023","GB40018","GB40073","GB40003","GB40033","GB40032","GB40378","GB40208","GB40470","GB40058","GB40340","GB40266","GB40081","GB40303","GB40412","GB40001"
"2","GB43313","GB40006","GB40004","GB40051","GB40015","GB40030","GB40008","GB40010","GB40024","GB40149","GB40108","GB40059","GB40182","GB40161","GB40383","GB40305","GB40542","GB40490","GB40494","GB40312","GB40082","GB40421","GB40860","GB40002"
"3","GB46669","GB40007","GB40017","GB40056","GB40022","GB40034","GB40038","GB40011","GB40027","GB40247","GB40151","GB40100","GB40200","GB40269","GB40432","GB40429","GB40618","GB40862","GB40555","GB40443","GB40140","GB40435","GB42373","GB40003"
"4","GB50592","GB40016","GB40047","GB40070","GB40029","GB40042","GB40048","GB40012","GB40035","GB40270","GB40185","GB40211","GB40207","GB40288","GB40433","GB40500","GB40619","GB41119","GB40561","GB40450","GB40156","GB40464","GB42469","GB40004"
"5","GB51960","GB40025","GB40057","GB40072","GB40049","GB40044","GB40052","GB40013","GB40037","GB40308","GB40222","GB40318","GB40239","GB40349","GB40434","GB40512","GB40635","GB41147","GB40562","GB40451","GB40231","GB40565","GB44168","GB40005"
"6","GB53630","GB40026","GB40065","GB40076","GB40060","GB40046","GB40061","GB40020","GB40043","GB40309","GB40232","GB40379","GB40252","GB40365","GB40505","GB40513","GB40794","GB41167","GB40698","GB41203","GB40330","GB40917","GB44294","GB40006"
"7","GB54560","GB40036","GB40075","GB40094","GB40067","GB40050","GB40063","GB40021","GB40087","GB40332","GB40320","GB40414","GB40259","GB40405","GB40519","GB40514","GB40869","GB41242","GB41294","GB41383","GB40944","GB41099","GB44713","GB40007"
"8","GB55104","GB40039","GB40078","GB40102","GB40071","GB40054","GB40064","GB40028","GB40089","GB40358","GB40360","GB40422","GB40302","GB40446","GB40647","GB40573","GB40967","GB41296","GB41295","GB41442","GB41036","GB41171","GB45746","GB40008"
"9","GB55141","GB40040","GB40084","GB40104","GB40091","GB40083","GB40077","GB40074","GB40092","GB40364","GB40381","GB40469","GB40395","GB40454","GB40648","GB40718","GB41009","GB41297","GB41419","GB41577","GB41394","GB41189","GB46238","GB40009"
"10",NA,"GB40041","GB40088","GB40106","GB40124","GB40105","GB40101","GB40095","GB40103","GB40388","GB40387","GB40471","GB40483","GB40507","GB40792","GB40747","GB41064","GB41300","GB41444","GB41662","GB41676","GB41277","GB46794","GB40010"
"11",NA,"GB40045","GB40090","GB40113","GB40164","GB40107","GB40112","GB40109","GB40125","GB40397","GB40392","GB40472","GB40508","GB40538","GB40897","GB40861","GB41065","GB41301","GB41455","GB41691","GB41695","GB41515","GB46861","GB40011"
"12",NA,"GB40053","GB40096","GB40119","GB40181","GB40141","GB40120","GB40110","GB40126","GB40399","GB40480","GB40534","GB40510","GB40546","GB41226","GB40873","GB41212","GB41302","GB42345","GB42422","GB41997","GB41740","GB47031","GB40012"
"13",NA,"GB40066","GB40098","GB40136","GB40190","GB40206","GB40122","GB40114","GB40133","GB40459","GB40497","GB40567","GB40595","GB40564","GB41401","GB40941","GB41225","GB41303","GB42613","GB42500","GB42043","GB41802","GB48541","GB40013"
"14",NA,"GB40069","GB40117","GB40145","GB40204","GB40226","GB40123","GB40128","GB40143","GB40467","GB40516","GB40598","GB40600","GB40674","GB41609","GB40948","GB41262","GB41304","GB43104","GB42534","GB42377","GB41988","GB48590","GB40014"
"15",NA,"GB40079","GB40127","GB40146","GB40205","GB40237","GB40135","GB40129","GB40144","GB40479","GB40533","GB40614","GB40620","GB40733","GB41674","GB41128","GB41417","GB41305","GB43121","GB42589","GB42541","GB42022","GB48591","GB40015"
"16",NA,"GB40080","GB40148","GB40163","GB40214","GB40257","GB40157","GB40130","GB40158","GB40491","GB40543","GB40711","GB40736","GB40766","GB41678","GB41152","GB41518","GB41312","GB43219","GB42791","GB42620","GB42490","GB49097","GB40016"
"17",NA,"GB40085","GB40159","GB40170","GB40221","GB40275","GB40162","GB40134","GB40171","GB40509","GB40556","GB40728","GB40779","GB40782","GB41727","GB41164","GB42000","GB41313","GB43277","GB42805","GB42701","GB42812","GB50538","GB40017"
"18",NA,"GB40086","GB40169","GB40180","GB40244","GB40277","GB40166","GB40150","GB40186","GB40535","GB40638","GB40744","GB40879","GB40845","GB41811","GB41358","GB42024","GB41314","GB43287","GB43003","GB42867","GB43027","GB51385","GB40018"
