,Brain,,FBO,,Sum Gene Counts,,
ID,brain_active_bias,brain_sterile_bias,fbo_active_bias,fbo_sterile_bias,presence_FBO,presence_brain,Summary
GB40567,paternal,NA,NA,NA,32466,953,
GB40679,maternal,NA,NA,NA,52253,0,
GB41232,paternal,NA,NA,NA,7005,3580,
GB41270,paternal,NA,NA,NA,37752,3234.64,
GB41302,maternal,NA,NA,NA,54695,547,
GB41332,maternal,NA,NA,NA,1589780,32229.77,
GB41403,maternal,NA,NA,NA,8941,542,
GB41405,maternal,NA,NA,NA,13877,3,
GB41608,paternal,paternal,NA,NA,18789,9524.73,
GB41608,European,paternal,NA,NA,18789,9524.73,
GB41736,paternal,paternal,NA,NA,10990,92886.27,
GB41736,European,paternal,NA,NA,10990,92886.27,
GB41833,paternal,NA,NA,NA,2818,910.1,
GB42578,maternal,NA,NA,NA,4767,0,"PSGE in brain, but also not expressed in brain?"
GB42996,paternal,NA,NA,NA,5053,11,"PSGE in brain, but also not expressed in brain?"
GB43603,paternal,NA,paternal,NA,44196,0,"PSGE in brain, but also not expressed in brain?"
GB52173,paternal,NA,NA,NA,1373,3,"PSGE in brain, but also not expressed in brain?"
GB42873,NA,European,NA,NA,4835,15,"PSGE in brain, but also not expressed in brain?"
GB43527,NA,paternal,NA,NA,674,0,"PSGE in brain, but also not expressed in brain?"
GB48711,NA,paternal,NA,NA,29,0,"PSGE in brain, but also not expressed in brain?"
GB40847,NA,NA,maternal,maternal,109648,11,PSGE FBO but not expressed in brain
GB41933,NA,NA,paternal,paternal,9149,7,PSGE FBO but not expressed in brain
GB46348,NA,NA,paternal,paternal,5420,1,PSGE FBO but not expressed in brain
GB41964,NA,NA,paternal,paternal,50991,0,PSGE FBO but not expressed in brain
GB48715,NA,NA,European,NA,1462,2,PSGE FBO but not expressed in brain
GB55376,NA,NA,maternal,NA,1550,0,PSGE FBO but not expressed in brain
GB46939,NA,NA,paternal,NA,5361,0,PSGE FBO but not expressed in brain
GB52585,NA,NA,paternal,NA,4424,0,PSGE FBO but not expressed in brain
GB47891,NA,NA,paternal,NA,6482,0,PSGE FBO but not expressed in brain
GB51290,NA,NA,Africanized,NA,40674,6,PSGE FBO but not expressed in brain
GB53555,NA,NA,paternal,paternal,1652,0,PSGE FBO but not expressed in brain
GB42703,NA,NA,paternal,NA,516,11,PSGE FBO but not expressed in brain
GB51217,NA,NA,European,NA,1518,0,PSGE FBO but not expressed in brain
GB51296,NA,NA,paternal,NA,1074,0,PSGE FBO but not expressed in brain
GB49060,NA,NA,paternal,NA,77,0,PSGE FBO but not expressed in brain
GB47793,NA,NA,paternal,NA,93138,0,PSGE FBO but not expressed in brain
GB42219,NA,NA,NA,maternal,94490,13,PSGE FBO but not expressed in brain
GB53214,NA,NA,NA,paternal,28825,0,PSGE FBO but not expressed in brain
GB43331,NA,NA,NA,paternal,1328071,7.18,PSGE FBO but not expressed in brain
GB42522,NA,NA,NA,paternal,776,2,PSGE FBO but not expressed in brain
GB50398,NA,NA,NA,paternal,2137,3,PSGE FBO but not expressed in brain
GB45402,NA,NA,NA,paternal,10233,2,PSGE FBO but not expressed in brain
GB49036,NA,NA,NA,paternal,12989,0,PSGE FBO but not expressed in brain
GB53871,NA,NA,NA,paternal,26603,0,PSGE FBO but not expressed in brain
GB42072,paternal,NA,NA,NA,21368,2820,
GB42551,paternal,NA,NA,NA,12991,2577.02,
GB42815,European,NA,NA,NA,214998,3318.54,
GB42920,paternal,NA,NA,NA,12810,3930,
GB42969,paternal,paternal,NA,NA,21674,9702,
GB42984,paternal,NA,NA,NA,17796,600473,
GB42985,paternal,NA,paternal,NA,60497,12249,
GB43113,paternal,NA,paternal,paternal,69457,26342.28,
GB43119,paternal,NA,NA,NA,101318,11935.64,
GB43132,paternal,NA,NA,NA,14140,3274,
GB43186,paternal,NA,NA,NA,16869,8010.47,
GB43189,paternal,paternal,paternal,paternal,77777,10944.86,
GB43189,Africanized,paternal,paternal,paternal,77777,10944.86,
GB43456,paternal,NA,NA,NA,11367,33688,
GB43459,paternal,NA,NA,NA,115902,86075,
GB43662,paternal,NA,NA,NA,2430,947,
GB43937,paternal,paternal,NA,NA,1536,10071,
GB43942,paternal,NA,paternal,paternal,38218,12978.47,
GB43949,paternal,NA,NA,NA,2645,2622,
GB44203,paternal,NA,NA,NA,37245,7544,
GB44316,paternal,NA,NA,NA,2719,8538,
GB44949,paternal,NA,NA,NA,15849,5513,
GB45288,paternal,NA,NA,NA,9050,4165,
