"","module_name","module_size","active_PSGE_module_overlap","sterile_PSGE_module_overlap","DEG_brain_module_overlap","activePSGE_repstat_pvalue","sterilePSGE_repstat_pvalue","DEG_brain_pvalue","reproductive_pvalue","ovary_correlation"
"1","background","15314","77","80","24","NaN","NaN","NaN",NA,NA
"2","ME5","877","5","8","0","0.278441635977107","0.0388531942877375","0.757449518988562",0.786677526713085,-0.0242632093664956
"3","ME9","291","1","4","0","0.431692848205516","0.0180956127557024","0.36923496456458",0.491588275560944,0.0626420067923911
"4","ME22","38","1","0","0","0.0156082433455076","0.180684477929446","0.0579304200846065",0.209570744989283,0.111695185046161
"5","ME4","1249","13","8","2","0.00346315230364269","0.203226152422128","0.311142462622233",0.80068303298526,0.0193256066411604
"6","ME8","346","3","6","2","0.0965076924994497","0.00218852061340646","0.0162840363194157",0.602501108951689,-0.0328934588798412
"7","ME1","2460","21","23","5","0.00393468730677515","0.00129075688919966","0.176505126722599",0.495391391434619,-0.0528392096573417
"8","ME7","552","7","3","1","0.00642933419192437","0.326161189637763","0.213785236702289",0.565764264349747,-0.0426948756768768
"9","ME17","111","0","0","0","0.429696080296472","0.442070934297344","0.160320631708522",0.554285779372817,-0.0539713051683234
"10","ME18","92","0","1","0","0.371970130640042","0.0835124507894843","0.134748579113448",0.0550804237309213,-0.164468531405781
"11","ME11","246","6","0","0","0.000234273499632898","0.727195153840442","0.322252065206929",0.648749772914923,0.039770701051254
"12","ME19","71","0","0","0","0.301444198417029","0.311165238323532","0.105616673567685",0.802128711185651,-0.0160394188505203
"13","ME10","251","0","3","0","0.720787909773218","0.0423750126330451","0.32763348127607",0.853431675444804,-0.0144538720558165
"14","ME21","56","0","0","0","0.24633752113715","0.254617827097013","0.084235152983969",0.456992368279256,-0.0638716184932488
"15","ME12","197","1","0","1","0.260732478535749","0.646038538686308","0.0377536175486004",0.600594440814029,-0.0481313439400575
"16","ME14","147","0","0","1","0.525078127227511","0.538693236441303","0.0220015511397078",0.614049420384918,0.0401268772971308
"17","ME13","157","0","0","0","0.548653933509134","0.562464291154563","0.219267302831698",0.609507654898251,0.0415848222193951
"18","ME2","1850","7","7","2","0.727184040820348","0.765764445348363","0.567522359410219",0.519498873716984,0.058660593059199
"19","ME3","1508","4","6","0","0.887166487217614","0.68445730592396","0.917096837793646",0.774245443551881,0.0218389819205963
"20","ME15","129","1","0","0","0.137354081847695","0.492648504361544","0.18387753847006",0.934751468310113,0.00736085443598585
"21","ME20","64","0","0","0","0.276241207351804","0.285324157686276","0.0956988582890881",0.917197639183352,-0.00936468890893781
"22","ME6","617","1","1","1","0.822358951467936","0.838378751128307","0.251784037648309",0.64302324810847,0.0389488541561756
"23","ME16","117","0","0","0","0.446812822161879","0.459460105570821","0.168244413880257",0.822622646199623,0.0188238748255374
"24","ME0","3911","6","10","9","0.999933224359702","0.996644500512142","0.0620614507953483",0.332131603561453,0.0843081731639016
