"","module_name","module_size","active_PSGE_module_overlap","sterile_PSGE_module_overlap","DEG_reproductive_module_overlap","activePSGE_repstat_pvalue","sterilePSGE_repstat_pvalue","DEG_repstat_pvalue"
"background","background","14086","200","164","2801","1","0","1"
"ME23","ME23","122","1","1","9","0.521940186641135","0.416653279324769","0.999920481572463"
"ME25","ME25","113","1","3","25","0.481277895566972","0.042980989788245","0.258080896132064"
"ME12","ME12","245","7","4","76","0.0244801074990668","0.157883119473602","1.82005814102215e-05"
"ME21","ME21","170","7","4","43","0.00305809406432722","0.0486806208125445","0.0414006934703087"
"ME31","ME31","97","1","3","24","0.404081919033818","0.0266227001630235","0.107499167589886"
"ME47","ME47","57","0","0","19","0.559948860595839","0.487712611851903","0.00619087614129166"
"ME13","ME13","241","0","0","8","0.969614338144648","0.941972290580477","0.999999999999991"
"ME39","ME39","71","0","0","15","0.640483063713741","0.565505240205593","0.354316091193328"
"ME27","ME27","111","2","1","53","0.211272278076371","0.371465091091754","1.55885304664594e-11"
"ME5","ME5","621","10","4","259","0.273644083130657","0.854481547997229","0"
"ME10","ME10","393","2","1","173","0.922441381063227","0.945878853714042","0"
"ME40","ME40","63","0","0","32","0.596454664061291","0.52261680978378","1.34096515003179e-08"
"ME7","ME7","566","4","2","35","0.910780964970829","0.963231652446836","1"
"ME33","ME33","97","1","1","0","0.404081919033818","0.312123228598713","0.999999999704577"
"ME4","ME4","669","1","1","10","0.999411946137477","0.996972748764993","1"
"ME11","ME11","366","0","0","18","0.995156498921015","0.987003874810976","1"
"ME49","ME49","53","1","0","2","0.174780471921409","0.463045645653237","0.999344941513939"
"ME6","ME6","601","2","1","12","0.992505625820319","0.993689421533174","1"
"ME15","ME15","200","2","1","14","0.546154365952528","0.679586524798981","0.999999835659381"
"ME44","ME44","61","2","1","28","0.0563949851172018","0.158531537961729","1.42648810907975e-06"
"ME14","ME14","204","0","0","76","0.947839631313373","0.909873833940085","4.23252510817207e-09"
"ME19","ME19","175","1","0","67","0.716242017386543","0.872835924617145","8.58600512909646e-09"
"ME55","ME55","45","0","0","0","0.476789796956538","0.410115186025407","0.999961251174459"
"ME57","ME57","40","1","1","2","0.111164725190309","0.0788395263404275","0.992642853244263"
"ME1","ME1","1210","16","12","382","0.563933067592955","0.660492546765894","0"
"ME16","ME16","200","1","2","19","0.782293068340015","0.41262610307716","0.999968038325172"
"ME24","ME24","120","1","2","4","0.513088542199455","0.164312510928321","0.999999936503397"
"ME51","ME51","51","1","0","5","0.164621511332647","0.450273054502843","0.96071607348236"
"ME34","ME34","92","4","3","8","0.0101681984823847","0.0224386608448256","0.997701198789759"
"ME54","ME54","45","0","0","2","0.476789796956538","0.410115186025407","0.997049827045706"
"ME3","ME3","1039","32","26","219","1.10586504062926e-05","6.46246808826412e-05","0.213194512063331"
"ME50","ME50","51","2","1","0","0.0361389190791865","0.118820043247204","0.999990026949886"
"ME17","ME17","180","0","4","37","0.926001373621058","0.0593905160085888","0.405830942890278"
"ME9","ME9","393","8","6","125","0.110462410835087","0.174963130211025","1.23231884696651e-08"
"ME26","ME26","112","1","1","3","0.47663068342259","0.37563344847283","0.999999958733231"
"ME22","ME22","165","1","1","31","0.685461413029614","0.575239073487362","0.630213610311555"
"ME20","ME20","174","0","1","18","0.919248024912686","0.60424199661808","0.999631949544167"
"ME45","ME45","60","0","0","12","0.578594920016026","0.505470684297796","0.437048353216691"
"ME36","ME36","86","1","1","6","0.347991919696965","0.26469688935135","0.999370450094018"
"ME53","ME53","45","0","0","7","0.476789796956538","0.410115186025407","0.712906753357312"
"ME58","ME58","39","1","1","3","0.106566504037604","0.0754559800670859","0.968793557618478"
"ME18","ME18","176","0","1","5","0.921564653504749","0.610481747096625","0.999999999992512"
"ME30","ME30","98","0","1","21","0.756683068981141","0.316411416662817","0.32415351289852"
"ME35","ME35","92","1","0","2","0.378842209359147","0.660721774560302","0.999999727758115"
"ME37","ME37","80","2","2","27","0.106283581417212","0.066532792544707","0.00139996794409747"
"ME8","ME8","478","6","8","114","0.526306247991305","0.10632286436429","0.0196536983432026"
"ME59","ME59","39","2","3","8","0.0179448230649885","0.00106057084232558","0.386268386978762"
"ME43","ME43","61","1","3","7","0.216257456405108","0.0055216984320412","0.944415545478692"
"ME38","ME38","77","1","4","17","0.30085297349845","0.00202461184930258","0.281524485705226"
"ME56","ME56","41","0","1","1","0.445732377165481","0.0822698053474318","0.998908656515771"
"ME46","ME46","59","0","1","11","0.57246860574749","0.150394091061428","0.53946412336448"
"ME28","ME28","108","2","0","2","0.200225218431459","0.719070877937973","0.999999990178493"
"ME2","ME2","1165","22","11","205","0.0696282231143912","0.713087507140478","0.988700773140898"
"ME41","ME41","63","0","1","11","0.596454664061291","0.166749340713507","0.638113663402227"
"ME48","ME48","56","3","3","0","0.00828800493221971","0.00406431506530591","0.999996783231201"
"ME29","ME29","105","2","4","28","0.189323917639196","0.00763447144445728","0.0407656742226794"
"ME52","ME52","49","3","3","29","0.00516422735720967","0.00249665870129334","3.93745147597713e-10"
"ME32","ME32","97","6","5","49","0.000471368806004069","0.000937857875134895","5.69033709041378e-12"
"ME42","ME42","62","1","1","4","0.22151059610333","0.162630903299839","0.997453455649644"
"ME0","ME0","1797","33","22","379","0.0511392777950455","0.346080933140942","0.143379982226546"
