"","module_name","module_size","active_PSGE_module_overlap","sterile_PSGE_module_overlap","activePSGE_repstat_pvalue","sterilePSGE_repstat_pvalue"
"background","background","14086","0","0","1","1"
"ME23","ME23","122","0","0","0.00866108192531589","0.00866108192531589"
"ME25","ME25","113","0","0","0.00802214965213688","0.00802214965213688"
"ME12","ME12","245","0","0","0.0173931563254299","0.0173931563254299"
"ME21","ME21","170","0","0","0.0120687207156042","0.0120687207156042"
"ME31","ME31","97","0","0","0.00688627005537412","0.00688627005537412"
"ME47","ME47","57","0","0","0.00404657106346673","0.00404657106346673"
"ME13","ME13","241","0","0","0.0171091864262392","0.0171091864262392"
"ME39","ME39","71","0","0","0.00504046571063421","0.00504046571063421"
"ME27","ME27","111","0","0","0.00788016470254149","0.00788016470254149"
"ME5","ME5","621","0","0","0.0440863268493533","0.0440863268493533"
"ME10","ME10","393","0","0","0.0279000425954848","0.0279000425954848"
"ME40","ME40","63","0","0","0.00447252591225378","0.00447252591225378"
"ME7","ME7","566","0","0","0.0401817407354821","0.0401817407354821"
"ME33","ME33","97","0","0","0.00688627005537412","0.00688627005537412"
"ME4","ME4","669","0","0","0.0474939656396421","0.0474939656396421"
"ME11","ME11","366","0","0","0.0259832457759474","0.0259832457759474"
"ME49","ME49","53","0","0","0.00376260116427629","0.00376260116427629"
"ME6","ME6","601","0","0","0.0426664773534006","0.0426664773534006"
"ME15","ME15","200","0","0","0.0141984949595343","0.0141984949595343"
"ME44","ME44","61","0","0","0.00433054096265795","0.00433054096265795"
"ME14","ME14","204","0","0","0.0144824648587246","0.0144824648587246"
"ME19","ME19","175","0","0","0.0124236830895922","0.0124236830895922"
"ME55","ME55","45","0","0","0.00319466136589563","0.00319466136589563"
"ME57","ME57","40","0","0","0.00283969899190673","0.00283969899190673"
"ME1","ME1","1210","0","0","0.0859008945051817","0.0859008945051817"
"ME16","ME16","200","0","0","0.0141984949595343","0.0141984949595343"
"ME24","ME24","120","0","0","0.00851909697572062","0.00851909697572062"
"ME51","ME51","51","0","0","0.00362061621468157","0.00362061621468157"
"ME34","ME34","92","0","0","0.00653130768138566","0.00653130768138566"
"ME54","ME54","45","0","0","0.00319466136589563","0.00319466136589563"
"ME3","ME3","1039","0","0","0.0737611813147806","0.0737611813147806"
"ME50","ME50","51","0","0","0.00362061621468157","0.00362061621468157"
"ME17","ME17","180","0","0","0.0127786454635809","0.0127786454635809"
"ME9","ME9","393","0","0","0.0279000425954848","0.0279000425954848"
"ME26","ME26","112","0","0","0.00795115717733919","0.00795115717733919"
"ME22","ME22","165","0","0","0.0117137583416163","0.0117137583416163"
"ME20","ME20","174","0","0","0.0123526906147948","0.0123526906147948"
"ME45","ME45","60","0","0","0.00425954848786059","0.00425954848786059"
"ME36","ME36","86","0","0","0.00610535283259972","0.00610535283259972"
"ME53","ME53","45","0","0","0.00319466136589563","0.00319466136589563"
"ME58","ME58","39","0","0","0.00276870651710914","0.00276870651710914"
"ME18","ME18","176","0","0","0.0124946755643902","0.0124946755643902"
"ME30","ME30","98","0","0","0.00695726253017237","0.00695726253017237"
"ME35","ME35","92","0","0","0.00653130768138566","0.00653130768138566"
"ME37","ME37","80","0","0","0.00567939798381356","0.00567939798381356"
"ME8","ME8","478","0","0","0.0339344029532864","0.0339344029532864"
"ME59","ME59","39","0","0","0.00276870651710914","0.00276870651710914"
"ME43","ME43","61","0","0","0.00433054096265795","0.00433054096265795"
"ME38","ME38","77","0","0","0.0054664205594207","0.0054664205594207"
"ME56","ME56","41","0","0","0.00291069146670453","0.00291069146670453"
"ME46","ME46","59","0","0","0.00418855601306301","0.00418855601306301"
"ME28","ME28","108","0","0","0.00766718727814852","0.00766718727814852"
"ME2","ME2","1165","0","0","0.0827062331392865","0.0827062331392865"
"ME41","ME41","63","0","0","0.00447252591225378","0.00447252591225378"
"ME48","ME48","56","0","0","0.00397557858867015","0.00397557858867015"
"ME29","ME29","105","0","0","0.00745420985375544","0.00745420985375544"
"ME52","ME52","49","0","0","0.00347863126508541","0.00347863126508541"
"ME32","ME32","97","0","0","0.00688627005537412","0.00688627005537412"
"ME42","ME42","62","0","0","0.00440153343745564","0.00440153343745564"
"ME0","ME0","1797","0","0","0.127573477211416","0.127573477211416"
