"","module_name","module_size","active_parent_overlap","active_strain_overlap","sterile_parent_overlap","sterile_strain_overlap","active_parentDML_pvalue","active_strainDML_pvalue","ster_parentDML_pvalue","ster_strainDML_pvalue"
"background","background","14086","105","220","42","66","0","1","0","0"
"ME23","ME23","122","1","8","0","5","0.230678134287821","0.000128735108562705","0.306417429565075","2.21756735353518e-05"
"ME25","ME25","113","3","4","0","1","0.0100917630888977","0.0326366790753398","0.287363853269931","0.0983200864350502"
"ME12","ME12","245","2","3","0","0","0.2758126799209","0.538290566401347","0.521942509662638","0.686749717653781"
"ME21","ME21","170","3","5","1","1","0.0382764266623059","0.0515964585897168","0.091145456733762","0.189328930289766"
"ME31","ME31","97","2","6","0","0","0.0358428240288194","0.000827155555962245","0.252221485641601","0.366898884514377"
"ME47","ME47","57","0","0","0","0","0.347754797804439","0.594726351849461","0.156798754583125","0.235272836843133"
"ME13","ME13","241","0","5","0","0","0.837778290883996","0.178664874009492","0.516096694881697","0.680704048062806"
"ME39","ME39","71","0","2","0","0","0.412900341789015","0.100506778088772","0.191476197144256","0.284150853443188"
"ME27","ME27","111","0","2","0","0","0.565599669693464","0.252930363501066","0.283060844938266","0.407476172674205"
"ME5","ME5","621","4","9","1","1","0.495272478132616","0.512413455485931","0.558288553979354","0.794432236852144"
"ME10","ME10","393","2","4","0","1","0.564633693104102","0.742565266818702","0.695844693165037","0.553412124656774"
"ME40","ME40","63","0","1","1","1","0.376507567136237","0.25991936329413","0.0151100165560878","0.0351593869022637"
"ME7","ME7","566","7","9","1","3","0.0606002071357401","0.39628820485208","0.507614760805961","0.27353517642535"
"ME33","ME33","97","0","1","0","0","0.517252049577174","0.451422519492221","0.252221485641601","0.366898884514377"
"ME4","ME4","669","3","6","1","0","0.740974400903168","0.905481247284932","0.599531601546249","0.960008981226616"
"ME11","ME11","366","4","2","0","0","0.138043199907258","0.929596994429934","0.669569306278421","0.824767592161859"
"ME49","ME49","53","1","0","0","0","0.0593233041425869","0.568155731890637","0.146627052482959","0.220713841467041"
"ME6","ME6","601","0","2","1","2","0.989905094933122","0.996324451213668","0.540276144273357","0.539014986533935"
"ME15","ME15","200","2","4","2","1","0.187444003171155","0.206096362884544","0.0215714836747236","0.240877413931783"
"ME44","ME44","61","0","1","0","0","0.367065615130697","0.248264415157653","0.166852069048038","0.24956387935157"
"ME14","ME14","204","3","5","0","0","0.0661667835414281","0.102346106745657","0.458607696986414","0.61904595020618"
"ME19","ME19","175","2","6","1","1","0.142297064581308","0.0205401741806788","0.0957212944052326","0.197822609185668"
"ME55","ME55","45","0","1","1","2","0.28625167393079","0.156902871492142","0.00792264041869528","0.00121133050349842"
"ME57","ME57","40","1","1","2","0","0.0357243487563281","0.12987453183876","0.000225538251358071","0.171486174819327"
"ME1","ME1","1210","20","30","5","6","0.000200289109195895","0.00447468136630125","0.147781884177426","0.338078210001142"
"ME16","ME16","200","2","3","1","1","0.187444003171155","0.384058146928505","0.119530375592873","0.240877413931783"
"ME24","ME24","120","0","1","2","0","0.594114557959503","0.564391916495527","0.00543452575259673","0.432197469449797"
"ME51","ME51","51","0","1","0","1","0.317689277848301","0.190542383393286","0.14149638174449","0.0237887681736343"
"ME34","ME34","92","0","0","0","0","0.498723617298543","0.767675355057575","0.240896616908389","0.351753609903377"
"ME54","ME54","45","2","2","0","0","0.00455051935619344","0.033364811267552","0.125923031205899","0.190772121010711"
"ME3","ME3","1039","3","11","5","2","0.956104616386088","0.898065631155107","0.0859034545680388","0.874215323653255"
"ME50","ME50","51","1","0","0","0","0.0554127781625392","0.554227179565425","0.14149638174449","0.213332319530784"
"ME17","ME17","180","2","3","1","2","0.151012213658765","0.312827725745567","0.100362843436672","0.0523048364005456"
"ME9","ME9","393","0","2","0","0","0.949325305334326","0.948629148668184","0.695844693165037","0.846178548117639"
"ME26","ME26","112","1","2","0","0","0.203314456833164","0.257150214265879","0.285215510019668","0.410274496295207"
"ME22","ME22","165","0","0","0","0","0.711142644638801","0.927538132731539","0.390799553726108","0.541356597892768"
"ME20","ME20","174","2","5","0","1","0.140575098655088","0.0565361134965066","0.407147721383864","0.196119839353598"
"ME45","ME45","60","0","0","0","0","0.36229166854559","0.613580469361623","0.164349765479675","0.246015972190911"
"ME36","ME36","86","0","0","0","0","0.475557754597842","0.744397698221217","0.227085637421967","0.333107722392726"
"ME53","ME53","45","0","0","0","0","0.28625167393079","0.509701026125259","0.125923031205899","0.190772121010711"
"ME58","ME58","39","1","0","0","0","0.0341008683331729","0.46074947272298","0.110074023491538","0.167575015927836"
"ME18","ME18","176","0","4","0","1","0.734232919298181","0.143630837303442","0.410722060374629","0.199527286137059"
"ME30","ME30","98","1","2","0","2","0.16577675648571","0.199270444209111","0.254466585191465","0.0108884804099398"
