,module_name,module_size,active_parent_overlap,active_strain_overlap,sterile_parent_overlap,sterile_strain_overlap,active_parentDML_pvalue,active_strainDML_pvalue,ster_parentDML_pvalue,ster_strainDML_pvalue,active_PSGE_module_overlap,sterile_PSGE_module_overlap,DEG_reproductive_module_overlap,activePSGE_repstat_pvalue,sterilePSGE_repstat_pvalue,DEG_repstat_pvalue
1,background,14086,105,220,42,66,0,1,0,0,200,164,2801,1,0,1
2,ME23,122,1,8,0,5,0.230678134,0.000128735,0.30641743,2.22E-05,1,1,9,0.521940187,0.416653279,0.999920482
3,ME25,113,3,4,0,1,0.010091763,0.032636679,0.287363853,0.098320086,1,3,25,0.481277896,0.04298099,0.258080896
4,ME12,245,2,3,0,0,0.27581268,0.538290566,0.52194251,0.686749718,7,4,76,0.024480107,0.157883119,1.82E-05
5,ME21,170,3,5,1,1,0.038276427,0.051596459,0.091145457,0.18932893,7,4,43,0.003058094,0.048680621,0.041400693
6,ME31,97,2,6,0,0,0.035842824,0.000827156,0.252221486,0.366898885,1,3,24,0.404081919,0.0266227,0.107499168
7,ME47,57,0,0,0,0,0.347754798,0.594726352,0.156798755,0.235272837,0,0,19,0.559948861,0.487712612,0.006190876
8,ME13,241,0,5,0,0,0.837778291,0.178664874,0.516096695,0.680704048,0,0,8,0.969614338,0.941972291,1
9,ME39,71,0,2,0,0,0.412900342,0.100506778,0.191476197,0.284150853,0,0,15,0.640483064,0.56550524,0.354316091
10,ME27,111,0,2,0,0,0.56559967,0.252930364,0.283060845,0.407476173,2,1,53,0.211272278,0.371465091,1.56E-11
11,ME5,621,4,9,1,1,0.495272478,0.512413455,0.558288554,0.794432237,10,4,259,0.273644083,0.854481548,0
12,ME10,393,2,4,0,1,0.564633693,0.742565267,0.695844693,0.553412125,2,1,173,0.922441381,0.945878854,0
13,ME40,63,0,1,1,1,0.376507567,0.259919363,0.015110017,0.035159387,0,0,32,0.596454664,0.52261681,1.34E-08
14,ME7,566,7,9,1,3,0.060600207,0.396288205,0.507614761,0.273535176,4,2,35,0.910780965,0.963231652,1
15,ME33,97,0,1,0,0,0.51725205,0.451422519,0.252221486,0.366898885,1,1,0,0.404081919,0.312123229,1
16,ME4,669,3,6,1,0,0.740974401,0.905481247,0.599531602,0.960008981,1,1,10,0.999411946,0.996972749,1
