"","module_name","module_size","active_parent_overlap","active_strain_overlap","sterile_parent_overlap","sterile_strain_overlap","active_parentDML_pvalue","active_strainDML_pvalue","ster_parentDML_pvalue","ster_strainDML_pvalue","active_PSGE_module_overlap","sterile_PSGE_module_overlap","DEG_reproductive_module_overlap","activePSGE_repstat_pvalue","sterilePSGE_repstat_pvalue","DEG_repstat_pvalue","reproductive_pvalue"
"1","background","8323","0","0","0","0","1","1","1","1","0","0","0","1","1","1",NA
"2","ME2","854","0","0","0","0","0.999989277339905","0.99999999997107","0.989525997431918","0.999234438135645","0","0","0","0.999999999732392","0.999999983846209","1",1.27025152958639e-05
"3","ME4","905","0","0","0","0","0.999994804133589","0.99999999999378","0.992151426773257","0.999513899440163","0","0","0","0.999999999933746","0.999999994813812","1",0.00473298667725702
"4","ME10","439","0","0","0","0","0.996741604485911","0.999994664152925","0.897884408612873","0.972423607449786","0","0","0","0.999983765912607","0.999873765984665","1",0.0727852908660462
"5","ME16","80","0","0","0","0","0.639604776872196","0.885062808143364","0.334129873733808","0.472691567512384","0","0","0","0.859867090899353","0.798057719499239","0.999999999999997",0.255412512531194
"6","ME6","494","0","0","0","0","0.998445330534492","0.99999888902401","0.923956142740303","0.982660305589248","0","0","0","0.999996096899578","0.999960434363469","1",0.0687384437619065
"7","ME18","71","0","0","0","0","0.595557311850815","0.853236149757687","0.30282181431482","0.433151093012222","0","0","0","0.825026609996114","0.758048459773159","0.999999999999887",0.205769144143075
"8","ME15","124","0","0","0","0","0.795280772410174","0.965344967048085","0.468479641838127","0.630134599241649","0","0","0","0.952841955236062","0.916786564278977","1",0.817735704151863
"9","ME8","709","0","0","0","0","0.999918116127574","0.99999999784107","0.976461057547261","0.997261601685195","0","0","0","0.99999998655405","0.999999608474322","1",0.25490944181656
"10","ME12","394","0","0","0","0","0.994053448417152","0.999980891963943","0.870228934084974","0.959788458625426","0","0","0","0.999948280739311","0.999675817845433","1",0.950392733488628
"11","ME5","604","0","0","0","0","0.999651637569851","0.999999953439757","0.958093587512845","0.993211879237035","0","0","0","0.999999781200614","0.99999620876886","1",0.00441722384025739
"12","ME9","480","0","0","0","0","0.998122173866526","0.999998341800664","0.918014241623307","0.980480626371547","0","0","0","0.999994384415606","0.999946800008445","1",1.4565622181774e-05
"13","ME11","349","0","0","0","0","0.989184708288536","0.999932071976373","0.835307772125927","0.941489595828676","0","0","0","0.999836321276277","0.999171944401167","1",0.0605074669923831
"14","ME19","73","0","0","0","0","0.605784856002962","0.860992426823056","0.309901003012458","0.442182761700429","0","0","0","0.833447212093148","0.767570541518882","0.999999999999952",0.217347583266086
"15","ME17","82","0","0","0","0","0.648728336451054","0.89114363043404","0.340898522338262","0.48110237020001","0","0","0","0.866618266106211","0.806013814480489","0.999999999999999",0.115879907473135
"16","ME1","967","0","0","0","0","0.999997861045012","0.999999999999054","0.99448850144375","0.999721333857711","0","0","0","0.99999999998802","0.999999998710694","1",0.0742523275919055
"17","ME7","390","0","0","0","0","0.993727854175919","0.999978605250723","0.867443428037992","0.958421703336644","0","0","0","0.99994268830073","0.999647559854692","1",0.000143549040778748
"18","ME14","146","0","0","0","0","0.845883008121664","0.981017388125111","0.525334725874287","0.690456473123369","0","0","0","0.972703998338408","0.946679630330156","1",0.872704013894912
"19","ME3","861","0","0","0","0","0.999990289438099","0.999999999976558","0.989931552307756","0.999280573504217","0","0","0","0.999999999778929","0.999999986172255","1",0.807697596155846
"20","ME13","319","0","0","0","0","0.98391571536059","0.999842412287843","0.807094273299727","0.924957137678793","0","0","0","0.99964846713381","0.998457287561849","1",0.00276043719334588
"21","ME0","1","0","0","0","0","0.0126156433978133","0.0265529256277784","0.00504625735912523","0.00792983299291106","0","0","0","0.0241499459329567","0.0197044334975368","0.341463414634146",0.405606396452542
