GeneID,D_melanogaster_Protein_ID,D_melanogaster_Gene_ID,accession,Gene_name
GB40001,#N/A,#N/A,XM_006572373.1," PREDICTED: Apis mellifera uncharacterized LOC102653755 (LOC102653755), transcript variant X2, mRNA"
GB40003,#N/A,#N/A,XM_006572373.1," PREDICTED: Apis mellifera uncharacterized LOC102653755 (LOC102653755), transcript variant X2, mRNA"
GB40006,#N/A,#N/A,XM_006571133.1," PREDICTED: Apis mellifera nesprin-1-like (LOC551356), mRNA"
GB40007,#N/A,#N/A,XM_006571133.1," PREDICTED: Apis mellifera nesprin-1-like (LOC551356), mRNA"
GB40008,#N/A,#N/A,XM_006571133.1," PREDICTED: Apis mellifera nesprin-1-like (LOC551356), mRNA"
GB40010,FBpp0292449,FBgn0261836,XM_006571127.1," PREDICTED: Apis mellifera uncharacterized LOC551319 (LOC551319), transcript variant X2, mRNA"
GB40011,#N/A,#N/A,XM_006571132.1," PREDICTED: Apis mellifera uncharacterized LOC102655530 (LOC102655530), mRNA"
GB40012,FBpp0078712,FBgn0031702,XM_623675.4," PREDICTED: Apis mellifera fuseless (fusl), transcript variant 2, mRNA"
GB40013,FBpp0078714,FBgn0031700,XM_001120805.3," PREDICTED: Apis mellifera acylphosphatase-2-like (LOC724904), transcript variant X1, mRNA"
GB40014,FBpp0079278,FBgn0020497,XM_006571124.1," PREDICTED: Apis mellifera exportin-1 (emb), transcript variant X3, mRNA"
GB40015,FBpp0088807,FBgn0035028,XM_006571119.1," PREDICTED: Apis mellifera stAR-related lipid transfer protein 3-like (LOC551111), transcript variant X1, mRNA"
GB40016,#N/A,#N/A,XM_006571113.1," PREDICTED: Apis mellifera diacylglycerol kinase 1 (Dgk), transcript variant X1, mRNA"
GB40017,FBpp0079818,FBgn0032340,XM_396550.5," PREDICTED: Apis mellifera enhancer of mRNA-decapping protein 4 homolog (Ge-1), mRNA"
GB40018,FBpp0081234,FBgn0261789,XM_397475.5," PREDICTED: Apis mellifera probable small nuclear ribonucleoprotein Sm D2-like (LOC414039), transcript variant 1, mRNA"
GB40019,FBpp0078951,FBgn0263200,XM_001120429.3," PREDICTED: Apis mellifera galactose-1-phosphate uridylyltransferase (LOC724540), mRNA"
GB40020,FBpp0071030,FBgn0029959,XM_006571118.1," PREDICTED: Apis mellifera Rab39 protein (Rab39), transcript variant X1, mRNA"
GB40021,#N/A,#N/A,XM_001121241.3," PREDICTED: Apis mellifera uncharacterized LOC725387 (LOC725387), mRNA"
GB40022,FBpp0080642,FBgn0086909,XM_006571111.1," PREDICTED: Apis mellifera aminoglycoside phosphotransferase domain-containing protein 1-like (LOC725458), transcript variant X3, mRNA"
GB40025,#N/A,#N/A,XM_006571108.1," PREDICTED: Apis mellifera ADAMTS-like protein 1-like (LOC410696), mRNA"
GB40026,#N/A,#N/A,XM_006571108.1," PREDICTED: Apis mellifera ADAMTS-like protein 1-like (LOC410696), mRNA"
GB40027,FBpp0110259,FBgn0051619,XM_006571108.1," PREDICTED: Apis mellifera ADAMTS-like protein 1-like (LOC410696), mRNA"
GB40028,FBpp0080203,FBgn0015546,XM_006571112.1," PREDICTED: Apis mellifera DNA mismatch repair protein spellchecker 1 (spel1), mRNA"
GB40029,#N/A,#N/A,XM_006571129.1," PREDICTED: Apis mellifera uncharacterized LOC100578186 (LOC100578186), partial mRNA"
