ID,D. melanogaster Gene ID,accession,Gene name,p.value,fdr,bias
GB44974,FBgn0028996,XM_006566493.1," PREDICTED: Apis mellifera homeobox protein onecut (onecut), transcript variant X1, mRNA",0,0,maternal
GB52442,#N/A,XM_006565840.1," PREDICTED: Apis mellifera uncharacterized LOC100577670 (LOC100577670), mRNA",0,0,maternal
GB43779,FBgn0036689,XM_003249421.2," PREDICTED: Apis mellifera uncharacterized LOC100577849 (LOC100577849), mRNA",0,0,maternal
GB52090,FBgn0261705,XM_006566934.1," PREDICTED: Apis mellifera zinc finger protein 396-like (LOC552397), transcript variant X1, mRNA",0,0,maternal
GB40847,#N/A,#N/A,#N/A,0,0,maternal
GB41856,FBgn0000024,NM_001040230.1," Apis mellifera acetylcholinesterase 2 (AChE-2), mRNA",0,0,paternal
GB53119,#N/A,NM_001085346.1," Apis mellifera apidermin 2 (Apd-2), mRNA",0,0,paternal
GB52041,#N/A,AY155490.1," Apis mellifera transposon mariner Ammar1 transposase gene, complete cds",0,0,paternal
GB48059,FBgn0000546,NM_001159355.1," Apis mellifera ecdysone receptor (Ecr), transcript variant B1, mRNA",0,0,paternal
GB45028,FBgn0031741,NM_001126243.1," Apis mellifera venom dipeptidylpeptidase IV (LOC410337), mRNA",0,0,paternal
GB49957,FBgn0044328,XM_006563669.1," PREDICTED: Apis mellifera acid sphingomyelinase-like phosphodiesterase 3a-like (LOC410577), transcript variant X2, mRNA",0,0,paternal
GB44119,FBgn0000256,XM_006567301.1," PREDICTED: Apis mellifera cappuccino (capu), mRNA",0,0,paternal
GB45148,#N/A,XM_001122721.3," PREDICTED: Apis mellifera clavesin-1-like (LOC727007), mRNA",0,0,paternal
GB50694,FBgn0033639,XM_006559335.1," PREDICTED: Apis mellifera f-box/LRR-repeat protein 20-like (LOC409829), transcript variant X2, mRNA",0,0,paternal
GB52776,#N/A,XM_006564804.1," PREDICTED: Apis mellifera hyaluronoglucosaminidase (LOC406146), transcript variant X1, mRNA",0,0,paternal
GB49985,FBgn0259984,XM_006563614.1," PREDICTED: Apis mellifera kuzbanian (kuz), transcript variant X2, mRNA",0,0,paternal
GB40808,#N/A,XM_006563298.1," PREDICTED: Apis mellifera lava lamp (lva), mRNA",0,0,paternal
GB51059,#N/A,XM_006566019.1," PREDICTED: Apis mellifera limpet (Lmpt), transcript variant X8, mRNA",0,0,paternal
GB49149,FBgn0004647,XM_006567988.1," PREDICTED: Apis mellifera neurogenic locus Notch protein (N), transcript variant X1, mRNA",0,0,paternal
GB48961,FBgn0052250,XM_006565308.1," PREDICTED: Apis mellifera peroxisomal membrane protein PMP34-like (LOC551241), transcript variant X2, mRNA",0,0,paternal
GB49183,#N/A,XM_006567969.1," PREDICTED: Apis mellifera PH domain leucine-rich repeat protein phosphatase (Phlpp), transcript variant X1, mRNA",0,0,paternal
GB48241,FBgn0034046,XM_006558495.1," PREDICTED: Apis mellifera protein N-terminal glutamine amidohydrolase (tun), mRNA",0,0,paternal
GB49567,FBgn0034897,XM_394521.5," PREDICTED: Apis mellifera sestrin homolog (LOC411048), transcript variant X1, mRNA",0,0,paternal
GB43407,FBgn0042650,XM_006570505.1," PREDICTED: Apis mellifera uncharacterized LOC102656661 (LOC102656661), mRNA",0,0,paternal
GB47026,FBgn0016926,XM_006568433.1," PREDICTED: Apis mellifera uncharacterized LOC408733 (LOC408733), transcript variant X3, mRNA",0,0,paternal
