"","Beebase","FBO_Module","FBO_DEG_Type","active_bias","sterile_bias","Entrez","D_melanogaster_Protein_ID","D_melanogaster_Gene_ID","accession","Gene_name"
"1","GB40001","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XM_006572373.1"," PREDICTED: Apis mellifera uncharacterized LOC102653755 (LOC102653755), transcript variant X2, mRNA"
"2","GB40002","FBO  6",NA,NA,NA,NA,NA,NA,NA,NA
"3","GB40003","FBO  11",NA,NA,NA,NA,"#N/A","#N/A","XM_006572373.1"," PREDICTED: Apis mellifera uncharacterized LOC102653755 (LOC102653755), transcript variant X2, mRNA"
"4","GB40004","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"5","GB40005","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"6","GB40006","FBO  1","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006571133.1"," PREDICTED: Apis mellifera nesprin-1-like (LOC551356), mRNA"
"7","GB40007","FBO  1","Sterile",NA,NA,"551356","#N/A","#N/A","XM_006571133.1"," PREDICTED: Apis mellifera nesprin-1-like (LOC551356), mRNA"
"8","GB40008","FBO  6","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006571133.1"," PREDICTED: Apis mellifera nesprin-1-like (LOC551356), mRNA"
"9","GB40009","FBO  7",NA,"paternal",NA,NA,NA,NA,NA,NA
"10","GB40010","FBO  7",NA,NA,"paternal",NA,"FBpp0292449","FBgn0261836","XM_006571127.1"," PREDICTED: Apis mellifera uncharacterized LOC551319 (LOC551319), transcript variant X2, mRNA"
"11","GB40011","FBO  7",NA,NA,NA,NA,"#N/A","#N/A","XM_006571132.1"," PREDICTED: Apis mellifera uncharacterized LOC102655530 (LOC102655530), mRNA"
"12","GB40012","FBO  7","Sterile",NA,NA,"551280","FBpp0078712","FBgn0031702","XM_623675.4"," PREDICTED: Apis mellifera fuseless (fusl), transcript variant 2, mRNA"
"13","GB40013","FBO  7","Sterile",NA,NA,"724904","FBpp0078714","FBgn0031700","XM_001120805.3"," PREDICTED: Apis mellifera acylphosphatase-2-like (LOC724904), transcript variant X1, mRNA"
"14","GB40014","FBO  4","Reproductive",NA,NA,"413018","FBpp0079278","FBgn0020497","XM_006571124.1"," PREDICTED: Apis mellifera exportin-1 (emb), transcript variant X3, mRNA"
"15","GB40015","FBO  4",NA,NA,NA,"551111","FBpp0088807","FBgn0035028","XM_006571119.1"," PREDICTED: Apis mellifera stAR-related lipid transfer protein 3-like (LOC551111), transcript variant X1, mRNA"
"16","GB40016","FBO  1",NA,NA,NA,"551069","#N/A","#N/A","XM_006571113.1"," PREDICTED: Apis mellifera diacylglycerol kinase 1 (Dgk), transcript variant X1, mRNA"
"17","GB40017","FBO  2","Reproductive",NA,NA,"413099","FBpp0079818","FBgn0032340","XM_396550.5"," PREDICTED: Apis mellifera enhancer of mRNA-decapping protein 4 homolog (Ge-1), mRNA"
"18","GB40018","FBO  9","Reproductive",NA,NA,NA,"FBpp0081234","FBgn0261789","XM_397475.5"," PREDICTED: Apis mellifera probable small nuclear ribonucleoprotein Sm D2-like (LOC414039), transcript variant 1, mRNA"
"19","GB40019","FBO  5",NA,NA,NA,NA,"FBpp0078951","FBgn0263200","XM_001120429.3"," PREDICTED: Apis mellifera galactose-1-phosphate uridylyltransferase (LOC724540), mRNA"
"20","GB40020","FBO  7",NA,NA,NA,NA,"FBpp0071030","FBgn0029959","XM_006571118.1"," PREDICTED: Apis mellifera Rab39 protein (Rab39), transcript variant X1, mRNA"
"21","GB40021","FBO  7",NA,NA,NA,"725387","#N/A","#N/A","XM_001121241.3"," PREDICTED: Apis mellifera uncharacterized LOC725387 (LOC725387), mRNA"
"22","GB40022","FBO  4","Reproductive",NA,NA,"725458","FBpp0080642","FBgn0086909","XM_006571111.1"," PREDICTED: Apis mellifera aminoglycoside phosphotransferase domain-containing protein 1-like (LOC725458), transcript variant X3, mRNA"
"23","GB40023","FBO  8",NA,NA,NA,NA,NA,NA,NA,NA
"24","GB40024","FBO  8",NA,NA,NA,NA,NA,NA,NA,NA
"25","GB40025","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006571108.1"," PREDICTED: Apis mellifera ADAMTS-like protein 1-like (LOC410696), mRNA"
"26","GB40026","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006571108.1"," PREDICTED: Apis mellifera ADAMTS-like protein 1-like (LOC410696), mRNA"
