ID,D. melanogaster Gene ID,accession,Gene name,p.value,fdr,bias
GB44494,#N/A,XM_006567745.1," PREDICTED: Apis mellifera glucosinolate sulphatase (LOC411657), mRNA",1.00947E-06,2.71145E-05,Africanized
GB53422,FBgn0050157,XM_001122104.3," PREDICTED: Apis mellifera ufm1-specific protease 1-like (LOC726361), transcript variant X1, mRNA",2.71415E-11,1.09518E-09,Africanized
GB49320,FBgn0263006,XM_006565221.1," PREDICTED: Apis mellifera calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type (LOC410371), transcript variant X4, mRNA",5.68497E-55,6.42586E-53,European
GB48239,#N/A,XM_006558489.1," PREDICTED: Apis mellifera gemini (gem), transcript variant X4, mRNA",5.65351E-16,3.02582E-14,European
GB52774,FBgn0020392,XM_624858.3," PREDICTED: Apis mellifera N-myristoyl transferase (Nmt), mRNA",1.88329E-07,5.50465E-06,European
GB42249,FBgn0005564,XM_392118.5," PREDICTED: Apis mellifera potassium voltage-gated channel protein Shal (Shal), transcript variant X9, mRNA",0.000235827,0.004327723,European
GB47943,#N/A,XM_003250085.2," PREDICTED: Apis mellifera uncharacterized LOC100576982 (LOC100576982), mRNA",0.000523942,0.008890811,European
GB54935,FBgn0032221,XM_006571532.1," PREDICTED: Apis mellifera uncharacterized LOC551320 (LOC551320), transcript variant X3, mRNA",0.000218676,0.004051759,European
GB55396,#N/A,XM_006568920.1," PREDICTED: Apis mellifera uncharacterized LOC552356 (LOC552356), transcript variant X1, mRNA",4.91345E-51,5.42332E-49,European
GB47020,#N/A,NM_001134828.1," Apis mellifera feminizer (Fem), mRNA",1.35286E-16,7.4815E-15,maternal
GB42219,#N/A,XM_006571134.1," PREDICTED: Apis mellifera acyl-CoA Delta(11) desaturase-like (LOC100576797), transcript variant X1, mRNA",0,0,maternal
GB45029,FBgn0040017,XM_006566380.1," PREDICTED: Apis mellifera dipeptidyl aminopeptidase-like protein 6-like (LOC410336), transcript variant X3, mRNA",5.04192E-90,6.66861E-88,maternal
GB41343,FBgn0011577,XM_006569958.1," PREDICTED: Apis mellifera division abnormally delayed (dally), mRNA",1.22344E-13,5.68375E-12,maternal
GB40053,FBgn0033058,XM_006560429.1," PREDICTED: Apis mellifera gastrin-releasing peptide receptor-like (LOC413550), mRNA",6.8327E-12,2.85181E-10,maternal
