"","Beebase","active_bias","BrainModule","Brain_DEG_Type","Entrez","GenbankID","D_melanogaster_Protein_ID","D_melanogaster_Gene_ID","accession","Gene_name"
"1","GB40567","paternal","B  1",NA,"551514"," Genbank:XM_026442232.1","#N/A","#N/A","XM_006559676.1"," PREDICTED: Apis mellifera serine protease 20 (SP20), mRNA"
"2","GB40679","maternal","B  0",NA,NA,NA,NA,NA,NA,NA
"3","GB41232","paternal","B  2",NA,"551949"," Genbank:XM_624331.6","FBpp0080860","FBgn0019686","XM_624331.4"," PREDICTED: Apis mellifera ovarian-specific serine/threonine-protein kinase Lok (lok), transcript variant 2, mRNA"
"4","GB41270","paternal","B  1",NA,"100577576"," Genbank:XM_003251296.4","#N/A","#N/A","XM_003251296.2"," PREDICTED: Apis mellifera chondroitin proteoglycan-2-like (LOC100577576), mRNA"
"5","GB41302","maternal","B  4",NA,"726703"," Genbank:XM_006569916.3","#N/A","#N/A","XM_006569915.1"," PREDICTED: Apis mellifera venom acid phosphatase Acph-1-like (LOC726703), transcript variant X2, mRNA"
"6","GB41302","maternal","B  4",NA,"726703"," Genbank:XM_016912206.2","#N/A","#N/A","XM_006569915.1"," PREDICTED: Apis mellifera venom acid phosphatase Acph-1-like (LOC726703), transcript variant X2, mRNA"
"7","GB41302","maternal","B  4",NA,"726703"," Genbank:XM_006569915.3","#N/A","#N/A","XM_006569915.1"," PREDICTED: Apis mellifera venom acid phosphatase Acph-1-like (LOC726703), transcript variant X2, mRNA"
"8","GB41302","maternal","B  4",NA,"726703"," Genbank:XM_016912207.2","#N/A","#N/A","XM_006569915.1"," PREDICTED: Apis mellifera venom acid phosphatase Acph-1-like (LOC726703), transcript variant X2, mRNA"
"9","GB41302","maternal","B  4",NA,"726703"," Genbank:XM_016912205.2","#N/A","#N/A","XM_006569915.1"," PREDICTED: Apis mellifera venom acid phosphatase Acph-1-like (LOC726703), transcript variant X2, mRNA"
"10","GB41332","maternal","B  3",NA,NA,NA,"FBpp0080129","FBgn0012037","XM_006569901.1"," PREDICTED: Apis mellifera DNA-directed RNA polymerase III subunit RPC1-like (LOC725552), transcript variant X1, mRNA"
"11","GB41403","maternal","B  1",NA,"413555"," Genbank:XM_006558348.3","#N/A","#N/A","XM_006558348.1"," PREDICTED: Apis mellifera lachesin-like (LOC413555), transcript variant X1, mRNA"
"12","GB41403","maternal","B  1",NA,"413555"," Genbank:XM_026442857.1","#N/A","#N/A","XM_006558348.1"," PREDICTED: Apis mellifera lachesin-like (LOC413555), transcript variant X1, mRNA"
"13","GB41403","maternal","B  1",NA,"413555"," Genbank:XM_006558349.3","#N/A","#N/A","XM_006558348.1"," PREDICTED: Apis mellifera lachesin-like (LOC413555), transcript variant X1, mRNA"
"14","GB41405","maternal","B  0",NA,NA,NA,"#N/A","#N/A","XM_006558348.1"," PREDICTED: Apis mellifera lachesin-like (LOC413555), transcript variant X1, mRNA"
"15","GB41608","paternal","B  1",NA,"726979"," Genbank:XM_016916105.2","FBpp0292047","FBgn0261610","XM_006565817.1"," PREDICTED: Apis mellifera uncharacterized LOC726979 (LOC726979), mRNA"
"16","GB41608","paternal","B  1",NA,"726979"," Genbank:XM_016916106.2","FBpp0292047","FBgn0261610","XM_006565817.1"," PREDICTED: Apis mellifera uncharacterized LOC726979 (LOC726979), mRNA"
"17","GB41608","European","B  1",NA,"726979"," Genbank:XM_016916105.2","FBpp0292047","FBgn0261610","XM_006565817.1"," PREDICTED: Apis mellifera uncharacterized LOC726979 (LOC726979), mRNA"
"18","GB41608","European","B  1",NA,"726979"," Genbank:XM_016916106.2","FBpp0292047","FBgn0261610","XM_006565817.1"," PREDICTED: Apis mellifera uncharacterized LOC726979 (LOC726979), mRNA"
"19","GB41736","paternal","B  4",NA,NA,NA,"#N/A","#N/A","XM_006565816.1"," PREDICTED: Apis mellifera MOXD1 homolog 1-like (LOC726997), mRNA"
"20","GB41736","European","B  4",NA,NA,NA,"#N/A","#N/A","XM_006565816.1"," PREDICTED: Apis mellifera MOXD1 homolog 1-like (LOC726997), mRNA"
