ID	Gene Name	Species	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	PIR_SUPERFAMILY	SMART	UP_KEYWORDS
409179	4-hydroxybutyrate coenzyme A transferase-like(LOC409179)	Apis mellifera	Energy production and conversion,	GO:0006084~acetyl-CoA metabolic process,		GO:0003824~catalytic activity,	IPR003702:Acetyl-CoA hydrolase/transferase,IPR026888:Acetyl-CoA hydrolase/transferase C-terminal domain,				Complete proteome,Reference proteome,
551849	L-galactose dehydrogenase-like(LOC551849)	Apis mellifera					IPR001395:Aldo/keto reductase,IPR023210:NADP-dependent oxidoreductase domain,				Complete proteome,Reference proteome,
552745	O-phosphoseryl-tRNA(Sec) selenium transferase(LOC552745)	Apis mellifera		GO:0006412~translation,GO:0097056~selenocysteinyl-tRNA(Sec) biosynthetic process,	GO:0005737~cytoplasm,	GO:0000049~tRNA binding,GO:0016785~transferase activity, transferring selenium-containing groups,	IPR008829:Soluble liver antigen/liver pancreas antigen,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015424:Pyridoxal phosphate-dependent transferase,IPR019872:O-phosphoseryl-tRNA(Sec) selenium transferase,	ame00450:Selenocompound metabolism,ame00970:Aminoacyl-tRNA biosynthesis,	PIRSF017689:O-phosphoseryl-tRNA(Sec) selenium transferase,		Complete proteome,Cytoplasm,Protein biosynthesis,Pyridoxal phosphate,Reference proteome,RNA-binding,Selenium,Transferase,tRNA-binding,
409600	SPRY domain-containing protein 7(LOC409600)	Apis mellifera					IPR001870:B30.2/SPRY domain,IPR003877:SPla/RYanodine receptor SPRY,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,			SM00449:SPRY,	Complete proteome,Reference proteome,
411570	TPPP family protein CG45057(LOC411570)	Apis mellifera					IPR008907:P25-alpha,IPR011992:EF-hand-like domain,				Coiled coil,Complete proteome,Reference proteome,
551290	cathepsin O-like(LOC551290)	Apis mellifera				GO:0008234~cysteine-type peptidase activity,	IPR000169:Cysteine peptidase, cysteine active site,IPR000668:Peptidase C1A, papain C-terminal,IPR013128:Peptidase C1A, papain,IPR013201:Proteinase inhibitor I29, cathepsin propeptide,IPR025660:Cysteine peptidase, histidine active site,	ame04142:Lysosome,		SM00645:Pept_C1,SM00848:SM00848,	Complete proteome,Reference proteome,Signal,
726602	centrosomal protein of 89 kDa-like(LOC726602)	Apis mellifera	Cell division and chromosome partitioning,	GO:0007005~mitochondrion organization,GO:0007268~chemical synaptic transmission,GO:0042384~cilium assembly,	GO:0005814~centriole,						Coiled coil,Complete proteome,Reference proteome,
552446	collagen alpha-1(I) chain-like(LOC552446)	Apis mellifera									Complete proteome,Reference proteome,Signal,
552109	cytosol aminopeptidase-like(LOC552109)	Apis mellifera			GO:0005737~cytoplasm,	GO:0004177~aminopeptidase activity,GO:0008235~metalloexopeptidase activity,GO:0030145~manganese ion binding,	IPR000819:Peptidase M17, leucyl aminopeptidase, C-terminal,IPR008283:Peptidase M17, leucyl aminopeptidase, N-terminal,IPR011356:Leucine aminopeptidase/peptidase B,	ame00330:Arginine and proline metabolism,ame00480:Glutathione metabolism,ame01100:Metabolic pathways,			Complete proteome,Reference proteome,
551770	cytosolic purine 5'-nucleotidase(LOC551770)	Apis mellifera					IPR008380:HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase,IPR023214:HAD-like domain,	ame00230:Purine metabolism,ame00240:Pyrimidine metabolism,ame00760:Nicotinate and nicotinamide metabolism,ame01100:Metabolic pathways,			Complete proteome,Reference proteome,
